CODGEO;LIBGEO;TX_TOT_EMPL;TX_F_EMPL;TX_ET_EMPL;TX_TOT_EPREC;TX_F_EPREC;TX_ET_EPREC;CA;NOTE_ASP;EVOL_CA_N_E ;NOTE_ASP_E;ABCDE;ABCDE_F;ABCDE_H;ABC;ABC_F;ABC_H;ABC_RSA;ABC_RSA_F;ABC_RSA_H;A;A_F;A_H;ABC_25;ABC_2649;ABC_50;ABC_FR;ABC_E;ABC_DUR1;ABC_DUR2;ABC_DUR3;ABC_DUR4;ABC_DUR1_F;ABC_DUR2_F;ABC_DUR3_F;ABC_DUR4_F;ABC_DUR1_H;ABC_DUR2_H;ABC_DUR3_H;ABC_DUR4_H;NOTE_PE;EVOL_ABC_T4;EVOL_ABC_F_T4;EVOL_ABC_H_T4;EVOL_A_T4;EVOL_A_F_T4;EVOL_A_H_T4;NOTE_PE_T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ensemble;Ensemble des QPV;44,6;40,1;39,7;22,1;22,9;25,5;18 500;;-56,4;;859 700;401 500;458 200;794 200;370 100;424 100;237 500;118 200;119 300;551 300;255 500;295 700;119 700;483 400;191 100;560 600;232 000;276 900;136 000;167 400;213 800;131 000;63 600;79 100;96 500;145 900;72 500;88 300;117 300;;-1,1;-0,3;0,2;-1,9;-1,3;-2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP001001;Grande Reyssouze Terre Des Fleurs;43,2;38,6;35;29,5;27,5;35;9;0;-80,4;0;1 093;530;563;978;456;522;231;126;105;577;293;284;172;576;230;609;367;341;200;196;241;173;96;89;98;168;104;107;143;0;5,4;3,2;7,4;7,2;4,3;10,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP001002;Croix Blanche;37,8;29;22,7;17;24,2;;;0;;0;402;157;245;353;133;220;95;40;55;230;90;140;53;217;83;207;145;131;70;63;89;51;25;25;32;80;45;38;57;0;14,6;10,8;17;21,7;18,4;23,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP001003;Quartier Jacques Prévert;64,7;57,7;63,7;28,3;23,6;50,9;;0;;0;151;71;80;144;;;27;;;104;;;15;94;35;106;38;52;26;41;25;;;;;;;;;0;-2,7;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP001004;Levant - Tattes;55,1;54,8;50;12,4;14;21,3;;0;;0;144;70;74;136;;;27;;;96;;;14;86;36;96;40;50;25;32;29;;;;;;;;;0;-0,7;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP001005;Les Courbes De L'Albarine;46,7;39,2;31,3;24,6;;;;0;;0;283;143;140;252;121;131;59;30;29;164;78;86;41;160;51;170;81;104;46;55;47;53;19;24;25;51;27;31;22;0;0;0,8;-0,8;-6,3;-4,9;-7,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP001006;La Plaine - La Forge;45,2;36,7;41,5;31;30,6;38,4;6;0;-64,7;0;796;383;413;738;348;390;122;66;56;399;196;203;98;472;168;396;341;260;124;155;199;129;62;71;86;131;62;84;113;0;-6,3;-5,2;-7,4;-3,9;-8,4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP001007;Pré Des Saules;47,7;37,1;44,7;32,2;30;35,2;;0;;0;185;94;91;168;;;23;;;85;;;23;119;26;99;69;63;29;35;41;;;;;;;;;0;-4;;;-10,5;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP001008;Brillat - Savarin;42,4;34;40,6;31,5;34;38,1;;0;;0;154;62;92;140;55;85;23;14;9;79;29;50;22;85;33;105;35;58;25;28;29;27;11;8;9;31;14;20;20;0;-6,7;-6,8;-6,6;-16;-31;-3,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP001009;Maladière;51,9;42,5;40;27,1;26,1;34,4;;0;;0;159;51;108;146;46;100;28;7;21;90;29;61;23;99;24;102;44;61;21;31;33;18;7;14;7;43;14;17;26;0;-8,2;-19,3;-2;5,9;-3,3;10,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
