CODE_IRIS;LIB_IRIS;TYP_IRIS;GRD_QUART;DEPCOM;LIBCOM;UU2020;REG;DEP
010010000;L'Abergement-Clémenciat (commune non irisée);Z;0100100;01001;L'Abergement-Clémenciat;01000;84;01
010020000;L'Abergement-de-Varey (commune non irisée);Z;0100200;01002;L'Abergement-de-Varey;01000;84;01
010040101;Les Pérouses-Triangle d'Activités;H;0100401;01004;Ambérieu-en-Bugey;01303;84;01
010040102;Longeray-Gare;H;0100401;01004;Ambérieu-en-Bugey;01303;84;01
010040201;Centre-Saint-Germain-Vareilles;H;0100402;01004;Ambérieu-en-Bugey;01303;84;01
010040202;Tiret-Les Allymes;H;0100402;01004;Ambérieu-en-Bugey;01303;84;01
010050000;Ambérieux-en-Dombes (commune non irisée);Z;0100500;01005;Ambérieux-en-Dombes;01000;84;01
010060000;Ambléon (commune non irisée);Z;0100600;01006;Ambléon;01000;84;01
010070000;Ambronay (commune non irisée);Z;0100700;01007;Ambronay;01000;84;01
010080000;Ambutrix (commune non irisée);Z;0100800;01008;Ambutrix;01303;84;01
010090000;Andert-et-Condon (commune non irisée);Z;0100900;01009;Andert-et-Condon;01000;84;01
010100000;Anglefort (commune non irisée);Z;0101000;01010;Anglefort;01000;84;01
010110000;Apremont (commune non irisée);Z;0101100;01011;Apremont;01000;84;01
010120000;Aranc (commune non irisée);Z;0101200;01012;Aranc;01000;84;01
010130000;Arandas (commune non irisée);Z;0101300;01013;Arandas;01000;84;01
010140000;Arbent (commune non irisée);Z;0101400;01014;Arbent;01402;84;01
010150000;Arboys en Bugey (commune non irisée);Z;0101500;01015;Arboys en Bugey;01000;84;01
010160000;Arbigny (commune non irisée);Z;0101600;01016;Arbigny;01000;84;01
010170000;Argis (commune non irisée);Z;0101700;01017;Argis;01000;84;01
010190000;Armix (commune non irisée);Z;0101900;01019;Armix;01000;84;01
010210000;Ars-sur-Formans (commune non irisée);Z;0102100;01021;Ars-sur-Formans;01000;84;01
010220000;Artemare (commune non irisée);Z;0102200;01022;Artemare;01000;84;01
010230000;Asnières-sur-Saône (commune non irisée);Z;0102300;01023;Asnières-sur-Saône;01000;84;01
010240000;Attignat (commune non irisée);Z;0102400;01024;Attignat;01113;84;01
010250000;Bâgé-Dommartin (commune non irisée);Z;0102500;01025;Bâgé-Dommartin;01201;84;01
010260000;Bâgé-le-Châtel (commune non irisée);Z;0102600;01026;Bâgé-le-Châtel;01201;84;01
010270000;Balan (commune non irisée);Z;0102700;01027;Balan;01202;84;01
010280000;Baneins (commune non irisée);Z;0102800;01028;Baneins;01000;84;01
010290000;Beaupont (commune non irisée);Z;0102900;01029;Beaupont;01000;84;01
010300000;Beauregard (commune non irisée);Z;0103000;01030;Beauregard;00760;84;01
010310000;Bellignat (commune non irisée);Z;0103100;01031;Bellignat;01402;84;01
010320000;Béligneux (commune non irisée);Z;0103200;01032;Béligneux;01202;84;01
010330102;Centre Ville;H;0103301;01033;Valserhône;00360;84;01
010330103;Lancrans-Coupy-Vanchy;H;0103301;01033;Valserhône;00360;84;01
010330201;Arc Vouvray-Gare-Châtillon;H;0103302;01033;Valserhône;00360;84;01
010330202;Plateau de Musinens;H;0103302;01033;Valserhône;00360;84;01
010330301;Arlod;H;0103303;01033;Valserhône;00360;84;01
010330401;Châtillon-en-Michaille;H;0103304;01033;Valserhône;00360;84;01
010340101;Ouest;H;0103401;01034;Belley;01301;84;01
010340102;Centre et Est;H;0103401;01034;Belley;01301;84;01
010340103;Sud-Ouest;H;0103401;01034;Belley;01301;84;01
010350000;Belleydoux (commune non irisée);Z;0103500;01035;Belleydoux;01000;84;01
010360000;Valromey-sur-Séran (commune non irisée);Z;0103600;01036;Valromey-sur-Séran;01000;84;01
010370000;Bénonces (commune non irisée);Z;0103700;01037;Bénonces;01000;84;01
010380000;Bény (commune non irisée);Z;0103800;01038;Bény;01000;84;01
010390000;Béon (commune non irisée);Z;0103900;01039;Béon;01000;84;01
010400000;Béréziat (commune non irisée);Z;0104000;01040;Béréziat;01000;84;01
010410000;Bettant (commune non irisée);Z;0104100;01041;Bettant;01000;84;01
010420000;Bey (commune non irisée);Z;0104200;01042;Bey;01000;84;01
010430000;Beynost (commune non irisée);Z;0104300;01043;Beynost;00760;84;01
010440000;Billiat (commune non irisée);Z;0104400;01044;Billiat;01000;84;01
010450000;Birieux (commune non irisée);Z;0104500;01045;Birieux;01000;84;01
010460000;Biziat (commune non irisée);Z;0104600;01046;Biziat;01000;84;01
010470000;Blyes (commune non irisée);Z;0104700;01047;Blyes;01000;84;01
010490000;La Boisse (commune non irisée);Z;0104900;01049;La Boisse;00760;84;01
010500000;Boissey (commune non irisée);Z;0105000;01050;Boissey;01000;84;01
010510000;Bolozon (commune non irisée);Z;0105100;01051;Bolozon;01000;84;01
010520000;Bouligneux (commune non irisée);Z;0105200;01052;Bouligneux;01000;84;01
010530101;Centre Ville;H;0105301;01053;Bourg-en-Bresse;01501;84;01
010530102;Champ de Foire;H;0105301;01053;Bourg-en-Bresse;01501;84;01
010530103;Préfecture;H;0105301;01053;Bourg-en-Bresse;01501;84;01
010530201;Citadelle;H;0105302;01053;Bourg-en-Bresse;01501;84;01
010530202;Mail;H;0105302;01053;Bourg-en-Bresse;01501;84;01
010530203;Peloux;H;0105302;01053;Bourg-en-Bresse;01501;84;01
010530301;Gare;H;0105303;01053;Bourg-en-Bresse;01501;84;01
010530302;Brou;H;0105303;01053;Bourg-en-Bresse;01501;84;01
010530401;Vennes Ouest;H;0105304;01053;Bourg-en-Bresse;01501;84;01
010530402;Vennes Est;H;0105304;01053;Bourg-en-Bresse;01501;84;01
010530501;Baudières;H;0105305;01053;Bourg-en-Bresse;01501;84;01
010530502;Sardières;H;0105305;01053;Bourg-en-Bresse;01501;84;01
010530503;Croix Blanche;H;0105305;01053;Bourg-en-Bresse;01501;84;01
010530601;Pont des Chèvres;H;0105306;01053;Bourg-en-Bresse;01501;84;01
010530602;Reyssouze Ouest;H;0105306;01053;Bourg-en-Bresse;01501;84;01
010530603;Reyssouze Est;H;0105306;01053;Bourg-en-Bresse;01501;84;01
010530604;Cenord-Grand Challes;H;0105306;01053;Bourg-en-Bresse;01501;84;01
010530701;Granges Bardes-Alagnier;H;0105307;01053;Bourg-en-Bresse;01501;84;01
010540000;Bourg-Saint-Christophe (commune non irisée);Z;0105400;01054;Bourg-Saint-Christophe;01302;84;01
010560000;Boyeux-Saint-Jérôme (commune non irisée);Z;0105600;01056;Boyeux-Saint-Jérôme;01000;84;01
010570000;Boz (commune non irisée);Z;0105700;01057;Boz;01000;84;01
010580000;Brégnier-Cordon (commune non irisée);Z;0105800;01058;Brégnier-Cordon;01000;84;01
010600000;Brénod (commune non irisée);Z;0106000;01060;Brénod;01000;84;01
010610000;Brens (commune non irisée);Z;0106100;01061;Brens;01301;84;01
010620000;Bressolles (commune non irisée);Z;0106200;01062;Bressolles;01000;84;01
010630000;Brion (commune non irisée);Z;0106300;01063;Brion;01203;84;01
010640000;Briord (commune non irisée);Z;0106400;01064;Briord;01000;84;01
010650000;Buellas (commune non irisée);Z;0106500;01065;Buellas;01108;84;01
010660000;La Burbanche (commune non irisée);Z;0106600;01066;La Burbanche;01000;84;01
010670000;Ceignes (commune non irisée);Z;0106700;01067;Ceignes;01000;84;01
010680000;Cerdon (commune non irisée);Z;0106800;01068;Cerdon;01000;84;01
010690000;Certines (commune non irisée);Z;0106900;01069;Certines;01116;84;01
010710000;Cessy (commune non irisée);Z;0107100;01071;Cessy;01401;84;01
010720000;Ceyzériat (commune non irisée);Z;0107200;01072;Ceyzériat;01123;84;01
010730000;Ceyzérieu (commune non irisée);Z;0107300;01073;Ceyzérieu;01000;84;01
010740000;Chalamont (commune non irisée);Z;0107400;01074;Chalamont;01105;84;01
010750000;Chaleins (commune non irisée);Z;0107500;01075;Chaleins;01000;84;01
010760000;Chaley (commune non irisée);Z;0107600;01076;Chaley;01000;84;01
010770000;Challes-la-Montagne (commune non irisée);Z;0107700;01077;Challes-la-Montagne;01000;84;01
010780000;Challex (commune non irisée);Z;0107800;01078;Challex;01000;84;01
010790000;Champagne-en-Valromey (commune non irisée);Z;0107900;01079;Champagne-en-Valromey;01000;84;01
010800000;Champdor-Corcelles (commune non irisée);Z;0108000;01080;Champdor-Corcelles;01000;84;01
010810000;Champfromier (commune non irisée);Z;0108100;01081;Champfromier;01000;84;01
010820000;Chanay (commune non irisée);Z;0108200;01082;Chanay;01000;84;01
010830000;Chaneins (commune non irisée);Z;0108300;01083;Chaneins;01000;84;01
010840000;Chanoz-Châtenay (commune non irisée);Z;0108400;01084;Chanoz-Châtenay;01000;84;01
010850000;La Chapelle-du-Châtelard (commune non irisée);Z;0108500;01085;La Chapelle-du-Châtelard;01000;84;01
010870000;Charix (commune non irisée);Z;0108700;01087;Charix;01000;84;01
010880000;Charnoz-sur-Ain (commune non irisée);Z;0108800;01088;Charnoz-sur-Ain;01000;84;01
010890000;Château-Gaillard (commune non irisée);Z;0108900;01089;Château-Gaillard;01000;84;01
010900000;Châtenay (commune non irisée);Z;0109000;01090;Châtenay;01000;84;01
010920000;Châtillon-la-Palud (commune non irisée);Z;0109200;01092;Châtillon-la-Palud;01104;84;01
010930000;Châtillon-sur-Chalaronne (commune non irisée);Z;0109300;01093;Châtillon-sur-Chalaronne;01130;84;01
010940000;Chavannes-sur-Reyssouze (commune non irisée);Z;0109400;01094;Chavannes-sur-Reyssouze;01000;84;01
010950000;Nivigne et Suran (commune non irisée);Z;0109500;01095;Nivigne et Suran;01000;84;01
010960000;Chaveyriat (commune non irisée);Z;0109600;01096;Chaveyriat;01000;84;01
010980000;Chazey-Bons (commune non irisée);Z;0109800;01098;Chazey-Bons;01000;84;01
010990000;Chazey-sur-Ain (commune non irisée);Z;0109900;01099;Chazey-sur-Ain;01000;84;01
011000000;Cheignieu-la-Balme (commune non irisée);Z;0110000;01100;Cheignieu-la-Balme;01000;84;01
011010000;Chevillard (commune non irisée);Z;0110100;01101;Chevillard;01000;84;01
011020000;Chevroux (commune non irisée);Z;0110200;01102;Chevroux;01000;84;01
011030000;Chevry (commune non irisée);Z;0110300;01103;Chevry;01122;84;01
011040000;Chézery-Forens (commune non irisée);Z;0110400;01104;Chézery-Forens;01000;84;01
011050000;Civrieux (commune non irisée);Z;0110500;01105;Civrieux;01000;84;01
011060000;Cize (commune non irisée);Z;0110600;01106;Cize;01000;84;01
011070000;Cleyzieu (commune non irisée);Z;0110700;01107;Cleyzieu;01000;84;01
011080000;Coligny (commune non irisée);Z;0110800;01108;Coligny;01000;84;01
011090000;Collonges (commune non irisée);Z;0110900;01109;Collonges;01000;84;01
011100000;Colomieu (commune non irisée);Z;0111000;01110;Colomieu;01000;84;01
011110000;Conand (commune non irisée);Z;0111100;01111;Conand;01000;84;01
011120000;Condamine (commune non irisée);Z;0111200;01112;Condamine;01101;84;01
011130000;Condeissiat (commune non irisée);Z;0111300;01113;Condeissiat;01000;84;01
011140000;Confort (commune non irisée);Z;0111400;01114;Confort;01000;84;01
011150000;Confrançon (commune non irisée);Z;0111500;01115;Confrançon;01000;84;01
011160000;Contrevoz (commune non irisée);Z;0111600;01116;Contrevoz;01000;84;01
011170000;Conzieu (commune non irisée);Z;0111700;01117;Conzieu;01000;84;01
011180000;Corbonod (commune non irisée);Z;0111800;01118;Corbonod;00165;84;01
011210000;Corlier (commune non irisée);Z;0112100;01121;Corlier;01000;84;01
011230000;Cormoranche-sur-Saône (commune non irisée);Z;0112300;01123;Cormoranche-sur-Saône;01000;84;01
011240000;Cormoz (commune non irisée);Z;0112400;01124;Cormoz;01000;84;01
011250000;Corveissiat (commune non irisée);Z;0112500;01125;Corveissiat;01000;84;01
011270000;Courmangoux (commune non irisée);Z;0112700;01127;Courmangoux;01000;84;01
011280000;Courtes (commune non irisée);Z;0112800;01128;Courtes;01000;84;01
011290000;Crans (commune non irisée);Z;0112900;01129;Crans;01000;84;01
011300000;Bresse Vallons (commune non irisée);Z;0113000;01130;Bresse Vallons;01000;84;01
011330000;Cressin-Rochefort (commune non irisée);Z;0113300;01133;Cressin-Rochefort;01000;84;01
011340000;Crottet (commune non irisée);Z;0113400;01134;Crottet;01126;84;01
011350000;Crozet (commune non irisée);Z;0113500;01135;Crozet;01122;84;01
011360000;Cruzilles-lès-Mépillat (commune non irisée);Z;0113600;01136;Cruzilles-lès-Mépillat;01000;84;01
011380000;Culoz (commune non irisée);Z;0113800;01138;Culoz;01111;84;01
011390000;Curciat-Dongalon (commune non irisée);Z;0113900;01139;Curciat-Dongalon;01000;84;01
011400000;Curtafond (commune non irisée);Z;0114000;01140;Curtafond;01000;84;01
011410000;Cuzieu (commune non irisée);Z;0114100;01141;Cuzieu;01000;84;01
011420000;Dagneux (commune non irisée);Z;0114200;01142;Dagneux;00760;84;01
011430101;Centre;H;0114301;01143;Divonne-les-Bains;01205;84;01
011430102;Nord-Ouest;H;0114301;01143;Divonne-les-Bains;01205;84;01
011430103;Sud-Ouest;H;0114301;01143;Divonne-les-Bains;01205;84;01
011450000;Dompierre-sur-Veyle (commune non irisée);Z;0114500;01145;Dompierre-sur-Veyle;01000;84;01
011460000;Dompierre-sur-Chalaronne (commune non irisée);Z;0114600;01146;Dompierre-sur-Chalaronne;01000;84;01
011470000;Domsure (commune non irisée);Z;0114700;01147;Domsure;01000;84;01
011480000;Dortan (commune non irisée);Z;0114800;01148;Dortan;01000;84;01
011490000;Douvres (commune non irisée);Z;0114900;01149;Douvres;01000;84;01
011500000;Drom (commune non irisée);Z;0115000;01150;Drom;01000;84;01
011510000;Druillat (commune non irisée);Z;0115100;01151;Druillat;01000;84;01
011520000;Échallon (commune non irisée);Z;0115200;01152;Échallon;01000;84;01
011530000;Échenevex (commune non irisée);Z;0115300;01153;Échenevex;01102;84;01
011550000;Évosges (commune non irisée);Z;0115500;01155;Évosges;01000;84;01
011560000;Faramans (commune non irisée);Z;0115600;01156;Faramans;01000;84;01
011570000;Fareins (commune non irisée);Z;0115700;01157;Fareins;00760;84;01
011580000;Farges (commune non irisée);Z;0115800;01158;Farges;01118;84;01
011590000;Feillens (commune non irisée);Z;0115900;01159;Feillens;01114;84;01
011600101;Ouest;H;0116001;01160;Ferney-Voltaire;00653;84;01
011600102;Centre;H;0116001;01160;Ferney-Voltaire;00653;84;01
011600103;Est;H;0116001;01160;Ferney-Voltaire;00653;84;01
011620000;Flaxieu (commune non irisée);Z;0116200;01162;Flaxieu;01000;84;01
011630000;Foissiat (commune non irisée);Z;0116300;01163;Foissiat;01000;84;01
011650000;Francheleins (commune non irisée);Z;0116500;01165;Francheleins;01000;84;01
011660000;Frans (commune non irisée);Z;0116600;01166;Frans;00760;84;01
011670000;Garnerans (commune non irisée);Z;0116700;01167;Garnerans;01000;84;01
011690000;Genouilleux (commune non irisée);Z;0116900;01169;Genouilleux;01000;84;01
011700000;Béard-Géovreissiat (commune non irisée);Z;0117000;01170;Béard-Géovreissiat;01203;84;01
011710000;Géovreisset (commune non irisée);Z;0117100;01171;Géovreisset;01402;84;01
011730101;Centre;H;0117301;01173;Gex;01401;84;01
011730102;Ouest;H;0117301;01173;Gex;01401;84;01
011730103;Est;H;0117301;01173;Gex;01401;84;01
011740000;Giron (commune non irisée);Z;0117400;01174;Giron;01000;84;01
011750000;Gorrevod (commune non irisée);Z;0117500;01175;Gorrevod;01125;84;01
011770000;Grand-Corent (commune non irisée);Z;0117700;01177;Grand-Corent;01000;84;01
011790000;Grièges (commune non irisée);Z;0117900;01179;Grièges;01000;84;01
011800000;Grilly (commune non irisée);Z;0118000;01180;Grilly;01000;84;01
011810000;Groissiat (commune non irisée);Z;0118100;01181;Groissiat;01402;84;01
011830000;Guéreins (commune non irisée);Z;0118300;01183;Guéreins;00451;84;01
011840000;Hautecourt-Romanèche (commune non irisée);Z;0118400;01184;Hautecourt-Romanèche;01000;84;01
011850000;Plateau d'Hauteville (commune non irisée);Z;0118500;01185;Plateau d'Hauteville;01129;84;01
011870000;Haut Valromey (commune non irisée);Z;0118700;01187;Haut Valromey;01000;84;01
011880000;Illiat (commune non irisée);Z;0118800;01188;Illiat;01000;84;01
011890000;Injoux-Génissiat (commune non irisée);Z;0118900;01189;Injoux-Génissiat;01000;84;01
011900000;Innimond (commune non irisée);Z;0119000;01190;Innimond;01000;84;01
011910000;Izenave (commune non irisée);Z;0119100;01191;Izenave;01000;84;01
011920000;Izernore (commune non irisée);Z;0119200;01192;Izernore;01203;84;01
011930000;Izieu (commune non irisée);Z;0119300;01193;Izieu;01000;84;01
011940101;Nord;H;0119401;01194;Jassans-Riottier;00760;84;01
011940102;Sud;H;0119401;01194;Jassans-Riottier;00760;84;01
011950000;Jasseron (commune non irisée);Z;0119500;01195;Jasseron;01000;84;01
011960000;Jayat (commune non irisée);Z;0119600;01196;Jayat;01119;84;01
011970000;Journans (commune non irisée);Z;0119700;01197;Journans;01000;84;01
011980000;Joyeux (commune non irisée);Z;0119800;01198;Joyeux;01000;84;01
011990000;Jujurieux (commune non irisée);Z;0119900;01199;Jujurieux;01121;84;01
012000000;Labalme (commune non irisée);Z;0120000;01200;Labalme;01000;84;01
012020101;Nord;H;0120201;01202;Lagnieu;01204;84;01
012020102;Sud;H;0120201;01202;Lagnieu;01204;84;01
012030000;Laiz (commune non irisée);Z;0120300;01203;Laiz;01126;84;01
012040000;Le Poizat-Lalleyriat (commune non irisée);Z;0120400;01204;Le Poizat-Lalleyriat;01000;84;01
012060000;Lantenay (commune non irisée);Z;0120600;01206;Lantenay;01000;84;01
012070000;Lapeyrouse (commune non irisée);Z;0120700;01207;Lapeyrouse;01000;84;01
012080000;Lavours (commune non irisée);Z;0120800;01208;Lavours;01000;84;01
012090000;Léaz (commune non irisée);Z;0120900;01209;Léaz;01000;84;01
012100000;Lélex (commune non irisée);Z;0121000;01210;Lélex;01000;84;01
012110000;Lent (commune non irisée);Z;0121100;01211;Lent;01000;84;01
012120000;Lescheroux (commune non irisée);Z;0121200;01212;Lescheroux;01000;84;01
012130000;Leyment (commune non irisée);Z;0121300;01213;Leyment;01000;84;01
012140000;Leyssard (commune non irisée);Z;0121400;01214;Leyssard;01000;84;01
012150000;Surjoux-Lhopital (commune non irisée);Z;0121500;01215;Surjoux-Lhopital;01000;84;01
