codgeo;libgeo;an;part_non_inseres
01001;L'Abergement-Clémenciat;2008;8,30
01001;L'Abergement-Clémenciat;2013;14,90
01001;L'Abergement-Clémenciat;2018;18,90
01002;L'Abergement-de-Varey;2008;8,30
01002;L'Abergement-de-Varey;2013;11,10
01002;L'Abergement-de-Varey;2018;26,70
01004;Ambérieu-en-Bugey;2008;15,90
01004;Ambérieu-en-Bugey;2013;18,00
01004;Ambérieu-en-Bugey;2018;18,00
01005;Ambérieux-en-Dombes;2008;12,10
01005;Ambérieux-en-Dombes;2013;16,70
01005;Ambérieux-en-Dombes;2018;9,30
01006;Ambléon;2008;0,00
01006;Ambléon;2013;18,20
01006;Ambléon;2018;30,00
01007;Ambronay;2008;11,70
01007;Ambronay;2013;15,20
01007;Ambronay;2018;10,90
01008;Ambutrix;2008;13,30
01008;Ambutrix;2013;18,80
01008;Ambutrix;2018;7,40
01009;Andert-et-Condon;2008;6,90
01009;Andert-et-Condon;2013;10,70
01009;Andert-et-Condon;2018;23,30
01010;Anglefort;2008;8,00
01010;Anglefort;2013;16,00
01010;Anglefort;2018;14,70
01011;Apremont;2008;9,10
01011;Apremont;2013;20,00
01011;Apremont;2018;14,80
01012;Aranc;2008;9,50
01012;Aranc;2013;21,40
01012;Aranc;2018;29,90
01013;Arandas;2008;0,00
01013;Arandas;2013;10,00
01013;Arandas;2018;30,80
01014;Arbent;2008;13,70
01014;Arbent;2013;15,20
01014;Arbent;2018;22,80
01015;Arboys en Bugey;2008;17,10
01015;Arboys en Bugey;2013;11,10
01015;Arboys en Bugey;2018;15,90
01016;Arbigny;2008;15,40
01016;Arbigny;2013;18,40
01016;Arbigny;2018;8,80
01017;Argis;2008;17,50
01017;Argis;2013;10,80
01017;Argis;2018;21,10
01019;Armix;2008;
01019;Armix;2013;0,00
01019;Armix;2018;100,00
01021;Ars-sur-Formans;2008;5,90
01021;Ars-sur-Formans;2013;11,30
01021;Ars-sur-Formans;2018;16,20
01022;Artemare;2008;14,80
01022;Artemare;2013;15,00
01022;Artemare;2018;19,10
01023;Asnières-sur-Saône;2008;28,60
01023;Asnières-sur-Saône;2013;0,00
01023;Asnières-sur-Saône;2018;28,60
01024;Attignat;2008;1,90
01024;Attignat;2013;11,50
01024;Attignat;2018;12,60
01025;Bâgé-Dommartin;2008;9,50
01025;Bâgé-Dommartin;2013;13,50
01025;Bâgé-Dommartin;2018;12,20
01026;Bâgé-le-Châtel;2008;10,10
01026;Bâgé-le-Châtel;2013;19,30
01026;Bâgé-le-Châtel;2018;13,30
01027;Balan;2008;3,20
01027;Balan;2013;5,20
01027;Balan;2018;4,70
01028;Baneins;2008;15,30
01028;Baneins;2013;14,50
01028;Baneins;2018;4,20
01029;Beaupont;2008;6,50
01029;Beaupont;2013;29,50
01029;Beaupont;2018;23,20
01030;Beauregard;2008;19,60
01030;Beauregard;2013;16,10
01030;Beauregard;2018;10,90
01031;Bellignat;2008;16,00
01031;Bellignat;2013;17,60
01031;Bellignat;2018;16,30
01032;Béligneux;2008;11,00
01032;Béligneux;2013;14,90
01032;Béligneux;2018;12,10
01033;Valserhône;2008;17,30
01033;Valserhône;2013;22,20
01033;Valserhône;2018;17,80
01034;Belley;2008;16,50
01034;Belley;2013;18,80
01034;Belley;2018;22,10
01035;Belleydoux;2008;19,20
01035;Belleydoux;2013;12,00
01035;Belleydoux;2018;17,60
01036;Valromey-sur-Séran;2008;11,20
01036;Valromey-sur-Séran;2013;15,50
01036;Valromey-sur-Séran;2018;13,50
01037;Bénonces;2008;15,40
01037;Bénonces;2013;22,20
01037;Bénonces;2018;18,50
01038;Bény;2008;1,70
01038;Bény;2013;11,90
01038;Bény;2018;12,00
01039;Béon;2008;13,90
01039;Béon;2013;24,00
01039;Béon;2018;15,20
01040;Béréziat;2008;7,90
01040;Béréziat;2013;17,80
01040;Béréziat;2018;8,00
01041;Bettant;2008;9,80
01041;Bettant;2013;17,50
01041;Bettant;2018;14,10
01042;Bey;2008;13,60
01042;Bey;2013;7,70
01042;Bey;2018;4,00
01043;Beynost;2008;9,10
01043;Beynost;2013;10,90
01043;Beynost;2018;10,80
01044;Billiat;2008;6,70
01044;Billiat;2013;10,70
01044;Billiat;2018;18,20
01045;Birieux;2008;0,00
01045;Birieux;2013;0,00
01045;Birieux;2018;4,50
01046;Biziat;2008;7,80
01046;Biziat;2013;14,60
01046;Biziat;2018;13,60
01047;Blyes;2008;6,80
01047;Blyes;2013;12,20
01047;Blyes;2018;10,00
01049;La Boisse;2008;10,70
01049;La Boisse;2013;10,60
01049;La Boisse;2018;10,10
01050;Boissey;2008;9,10
01050;Boissey;2013;4,50
01050;Boissey;2018;8,30
01051;Bolozon;2008;11,10
01051;Bolozon;2013;14,30
01051;Bolozon;2018;100,00
01052;Bouligneux;2008;5,60
01052;Bouligneux;2013;12,00
01052;Bouligneux;2018;12,50
01053;Bourg-en-Bresse;2008;14,60
01053;Bourg-en-Bresse;2013;19,90
01053;Bourg-en-Bresse;2018;21,20
01054;Bourg-Saint-Christophe;2008;5,90
01054;Bourg-Saint-Christophe;2013;7,70
01054;Bourg-Saint-Christophe;2018;8,40
01056;Boyeux-Saint-Jérôme;2008;10,00
01056;Boyeux-Saint-Jérôme;2013;18,70
01056;Boyeux-Saint-Jérôme;2018;9,50
01057;Boz;2008;15,30
01057;Boz;2013;16,10
01057;Boz;2018;13,30
01058;Brégnier-Cordon;2008;19,20
01058;Brégnier-Cordon;2013;19,70
01058;Brégnier-Cordon;2018;12,10
01060;Brénod;2008;7,00
01060;Brénod;2013;10,90
01060;Brénod;2018;10,90
01061;Brens;2008;12,40
01061;Brens;2013;16,80
01061;Brens;2018;5,80
01062;Bressolles;2008;6,70
01062;Bressolles;2013;4,50
01062;Bressolles;2018;7,40
01063;Brion;2008;7,50
01063;Brion;2013;14,90
01063;Brion;2018;9,40
01064;Briord;2008;14,50
01064;Briord;2013;25,40
01064;Briord;2018;12,90
01065;Buellas;2008;6,80
01065;Buellas;2013;4,30
01065;Buellas;2018;6,00
01066;La Burbanche;2008;37,50
01066;La Burbanche;2013;16,70
01066;La Burbanche;2018;0,00
01067;Ceignes;2008;8,30
01067;Ceignes;2013;10,30
01067;Ceignes;2018;3,70
01068;Cerdon;2008;18,30
01068;Cerdon;2013;14,30
01068;Cerdon;2018;18,10
01069;Certines;2008;3,70
01069;Certines;2013;11,40
01069;Certines;2018;11,00
01071;Cessy;2008;6,70
01071;Cessy;2013;10,40
01071;Cessy;2018;11,40
01072;Ceyzériat;2008;6,30
01072;Ceyzériat;2013;14,90
01072;Ceyzériat;2018;14,60
01073;Ceyzérieu;2008;8,80
01073;Ceyzérieu;2013;10,30
01073;Ceyzérieu;2018;14,50
01074;Chalamont;2008;13,70
01074;Chalamont;2013;13,00
01074;Chalamont;2018;16,60
01075;Chaleins;2008;9,00
01075;Chaleins;2013;13,90
01075;Chaleins;2018;13,80
01076;Chaley;2008;11,10
01076;Chaley;2013;14,30
01076;Chaley;2018;62,50
01077;Challes-la-Montagne;2008;0,00
01077;Challes-la-Montagne;2013;6,30
01077;Challes-la-Montagne;2018;12,50
01078;Challex;2008;10,60
01078;Challex;2013;13,70
01078;Challex;2018;13,10
01079;Champagne-en-Valromey;2008;9,50
01079;Champagne-en-Valromey;2013;9,70
01079;Champagne-en-Valromey;2018;13,20
01080;Champdor-Corcelles;2008;13,50
01080;Champdor-Corcelles;2013;15,20
01080;Champdor-Corcelles;2018;19,10
01081;Champfromier;2008;10,80
01081;Champfromier;2013;20,80
01081;Champfromier;2018;7,50
01082;Chanay;2008;3,30
01082;Chanay;2013;2,90
01082;Chanay;2018;8,00
01083;Chaneins;2008;7,80
01083;Chaneins;2013;4,80
01083;Chaneins;2018;13,40
01084;Chanoz-Châtenay;2008;9,40
01084;Chanoz-Châtenay;2013;7,60
01084;Chanoz-Châtenay;2018;2,80
01085;La Chapelle-du-Châtelard;2008;5,60
01085;La Chapelle-du-Châtelard;2013;26,90
01085;La Chapelle-du-Châtelard;2018;17,20
01087;Charix;2008;9,10
01087;Charix;2013;22,20
01087;Charix;2018;7,10
01088;Charnoz-sur-Ain;2008;0,90
01088;Charnoz-sur-Ain;2013;9,50
01088;Charnoz-sur-Ain;2018;12,50
01089;Château-Gaillard;2008;14,60
01089;Château-Gaillard;2013;13,10
01089;Château-Gaillard;2018;11,20
01090;Châtenay;2008;8,10
01090;Châtenay;2013;16,70
01090;Châtenay;2018;10,00
01092;Châtillon-la-Palud;2008;10,20
01092;Châtillon-la-Palud;2013;8,60
01092;Châtillon-la-Palud;2018;9,90
01093;Châtillon-sur-Chalaronne;2008;13,20
01093;Châtillon-sur-Chalaronne;2013;13,90
01093;Châtillon-sur-Chalaronne;2018;12,30
01094;Chavannes-sur-Reyssouze;2008;4,40
01094;Chavannes-sur-Reyssouze;2013;20,30
01094;Chavannes-sur-Reyssouze;2018;17,60
01095;Nivigne et Suran;2008;10,80
01095;Nivigne et Suran;2013;13,60
01095;Nivigne et Suran;2018;14,10
01096;Chaveyriat;2008;7,80
01096;Chaveyriat;2013;9,70
01096;Chaveyriat;2018;5,70
01098;Chazey-Bons;2008;10,00
01098;Chazey-Bons;2013;15,90
01098;Chazey-Bons;2018;16,30
01099;Chazey-sur-Ain;2008;7,80
01099;Chazey-sur-Ain;2013;12,40
01099;Chazey-sur-Ain;2018;11,90
01100;Cheignieu-la-Balme;2008;11,10
01100;Cheignieu-la-Balme;2013;10,00
01100;Cheignieu-la-Balme;2018;50,00
01101;Chevillard;2008;0,00
01101;Chevillard;2013;0,00
01101;Chevillard;2018;0,00
01102;Chevroux;2008;10,80
01102;Chevroux;2013;12,40
01102;Chevroux;2018;9,90
01103;Chevry;2008;6,90
01103;Chevry;2013;10,40
01103;Chevry;2018;6,90
01104;Chézery-Forens;2008;15,60
01104;Chézery-Forens;2013;2,50
01104;Chézery-Forens;2018;6,40
01105;Civrieux;2008;8,30
01105;Civrieux;2013;11,50
01105;Civrieux;2018;5,40
01106;Cize;2008;22,20
01106;Cize;2013;20,00
01106;Cize;2018;23,10
01107;Cleyzieu;2008;7,70
01107;Cleyzieu;2013;16,70
01107;Cleyzieu;2018;0,00
01108;Coligny;2008;7,10
01108;Coligny;2013;12,40
01108;Coligny;2018;14,10
01109;Collonges;2008;9,30
01109;Collonges;2013;12,80
01109;Collonges;2018;8,10
01110;Colomieu;2008;40,00
01110;Colomieu;2013;14,30
01110;Colomieu;2018;38,50
01111;Conand;2008;12,50
01111;Conand;2013;16,70
01111;Conand;2018;45,50
01112;Condamine;2008;7,50
01112;Condamine;2013;5,90
01112;Condamine;2018;10,20
01113;Condeissiat;2008;13,30
01113;Condeissiat;2013;10,30
01113;Condeissiat;2018;5,40
01114;Confort;2008;8,90
01114;Confort;2013;19,40
01114;Confort;2018;9,50
01115;Confrançon;2008;6,10
01115;Confrançon;2013;7,80
01115;Confrançon;2018;15,10
01116;Contrevoz;2008;26,40
01116;Contrevoz;2013;11,40
01116;Contrevoz;2018;13,60
01117;Conzieu;2008;0,00
01117;Conzieu;2013;27,30
01117;Conzieu;2018;42,90
01118;Corbonod;2008;4,80
01118;Corbonod;2013;14,80
01118;Corbonod;2018;15,80
01121;Corlier;2008;0,00
01121;Corlier;2013;17,60
01121;Corlier;2018;18,80
01123;Cormoranche-sur-Saône;2008;6,10
01123;Cormoranche-sur-Saône;2013;10,10
01123;Cormoranche-sur-Saône;2018;18,90
01124;Cormoz;2008;6,80
01124;Cormoz;2013;20,30
01124;Cormoz;2018;11,30
01125;Corveissiat;2008;15,30
01125;Corveissiat;2013;19,00
01125;Corveissiat;2018;22,90
01127;Courmangoux;2008;3,40
01127;Courmangoux;2013;17,60
