codgeo;libgeo;an;part_non_inseres
200000172;CC Faucigny-Glières;2008;16,60
200000172;CC Faucigny-Glières;2013;14,00
200000172;CC Faucigny-Glières;2018;17,50
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;2008;13,40
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;2013;14,70
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;2018;14,70
200000545;CC des Portes de Romilly-sur-Seine;2008;22,90
200000545;CC des Portes de Romilly-sur-Seine;2013;28,60
200000545;CC des Portes de Romilly-sur-Seine;2018;24,70
200000628;CC Rhône Lez Provence;2008;21,10
200000628;CC Rhône Lez Provence;2013;27,00
200000628;CC Rhône Lez Provence;2018;23,20
200000800;CC Cœur de Sologne;2008;12,70
200000800;CC Cœur de Sologne;2013;18,70
200000800;CC Cœur de Sologne;2018;20,00
200000925;CC de la Plaine Dijonnaise;2008;11,70
200000925;CC de la Plaine Dijonnaise;2013;14,30
200000925;CC de la Plaine Dijonnaise;2018;10,40
200000933;CC Sauldre et Sologne;2008;14,90
200000933;CC Sauldre et Sologne;2013;19,40
200000933;CC Sauldre et Sologne;2018;18,10
200004802;CC du Pays de Fayence;2008;15,90
200004802;CC du Pays de Fayence;2013;19,60
200004802;CC du Pays de Fayence;2018;19,30
200005932;CC des Portes de Sologne;2008;12,50
200005932;CC des Portes de Sologne;2013;13,50
200005932;CC des Portes de Sologne;2018;12,40
200005957;CC de la Région de Rambervillers;2008;15,50
200005957;CC de la Région de Rambervillers;2013;20,40
200005957;CC de la Région de Rambervillers;2018;22,20
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;2008;14,60
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;2013;15,50
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;2018;15,10
200006716;CC du Nogentais;2008;20,20
200006716;CC du Nogentais;2013;25,70
200006716;CC du Nogentais;2018;24,10
200006930;CC du Haut-Allier;2008;8,70
200006930;CC du Haut-Allier;2013;12,20
200006930;CC du Haut-Allier;2018;14,40
200006971;CC du Perche;2008;14,90
200006971;CC du Perche;2013;19,70
200006971;CC du Perche;2018;16,50
200007052;CC de la Marche Berrichonne;2008;12,90
200007052;CC de la Marche Berrichonne;2013;14,70
200007052;CC de la Marche Berrichonne;2018;16,70
