codgeo;libgeo;an;part_non_inseres
01;Guadeloupe;2007;24,60
01;Guadeloupe;2008;24,90
01;Guadeloupe;2012;26,20
01;Guadeloupe;2013;26,20
01;Guadeloupe;2017;24,70
01;Guadeloupe;2018;24,00
02;Martinique;2007;21,30
02;Martinique;2008;22,30
02;Martinique;2012;25,90
02;Martinique;2013;26,00
02;Martinique;2017;23,70
02;Martinique;2018;22,80
03;Guyane;2007;34,30
03;Guyane;2008;34,70
03;Guyane;2012;35,70
03;Guyane;2013;36,40
03;Guyane;2017;38,10
03;Guyane;2018;38,50
04;La Réunion;2007;30,10
04;La Réunion;2008;30,80
04;La Réunion;2012;32,60
04;La Réunion;2013;32,20
04;La Réunion;2017;30,10
04;La Réunion;2018;29,70
06;Mayotte;2007;
06;Mayotte;2008;
06;Mayotte;2012;
06;Mayotte;2013;
06;Mayotte;2017;
06;Mayotte;2018;
11;Île-de-France;2007;11,50
11;Île-de-France;2008;12,10
11;Île-de-France;2012;14,50
11;Île-de-France;2013;14,60
11;Île-de-France;2017;14,30
11;Île-de-France;2018;14,00
24;Centre-Val de Loire;2007;13,50
24;Centre-Val de Loire;2008;14,10
24;Centre-Val de Loire;2012;17,00
24;Centre-Val de Loire;2013;17,30
24;Centre-Val de Loire;2017;16,90
24;Centre-Val de Loire;2018;16,50
27;Bourgogne-Franche-Comté;2007;13,40
27;Bourgogne-Franche-Comté;2008;14,00
27;Bourgogne-Franche-Comté;2012;16,20
27;Bourgogne-Franche-Comté;2013;16,50
27;Bourgogne-Franche-Comté;2017;16,00
27;Bourgogne-Franche-Comté;2018;15,50
28;Normandie;2007;14,70
28;Normandie;2008;15,20
28;Normandie;2012;17,70
28;Normandie;2013;17,90
28;Normandie;2017;17,30
28;Normandie;2018;16,80
32;Hauts-de-France;2007;18,20
32;Hauts-de-France;2008;18,80
32;Hauts-de-France;2012;21,20
32;Hauts-de-France;2013;21,40
32;Hauts-de-France;2017;20,80
32;Hauts-de-France;2018;20,20
44;Grand Est;2007;14,40
44;Grand Est;2008;14,90
44;Grand Est;2012;17,40
44;Grand Est;2013;17,70
44;Grand Est;2017;17,00
44;Grand Est;2018;16,40
52;Pays de la Loire;2007;11,00
52;Pays de la Loire;2008;11,50
52;Pays de la Loire;2012;14,00
52;Pays de la Loire;2013;14,40
52;Pays de la Loire;2017;14,40
52;Pays de la Loire;2018;13,90
53;Bretagne;2007;10,40
53;Bretagne;2008;10,90
53;Bretagne;2012;13,30
53;Bretagne;2013;13,60
53;Bretagne;2017;13,80
53;Bretagne;2018;13,50
75;Nouvelle-Aquitaine;2007;13,10
75;Nouvelle-Aquitaine;2008;13,70
75;Nouvelle-Aquitaine;2012;16,30
75;Nouvelle-Aquitaine;2013;16,60
75;Nouvelle-Aquitaine;2017;16,60
75;Nouvelle-Aquitaine;2018;16,10
76;Occitanie;2007;14,20
76;Occitanie;2008;14,80
76;Occitanie;2012;17,80
76;Occitanie;2013;18,10
76;Occitanie;2017;17,80
76;Occitanie;2018;17,40
84;Auvergne-Rhône-Alpes;2007;11,70
84;Auvergne-Rhône-Alpes;2008;12,20
84;Auvergne-Rhône-Alpes;2012;14,50
84;Auvergne-Rhône-Alpes;2013;14,80
84;Auvergne-Rhône-Alpes;2017;14,50
84;Auvergne-Rhône-Alpes;2018;14,10
93;Provence-Alpes-Côte d'Azur;2007;15,10
93;Provence-Alpes-Côte d'Azur;2008;15,70
93;Provence-Alpes-Côte d'Azur;2012;18,40
93;Provence-Alpes-Côte d'Azur;2013;18,90
93;Provence-Alpes-Côte d'Azur;2017;18,50
93;Provence-Alpes-Côte d'Azur;2018;17,90
94;Corse;2007;18,50
94;Corse;2008;19,10
94;Corse;2012;20,70
94;Corse;2013;20,50
94;Corse;2017;19,90
94;Corse;2018;19,20
