CODGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
Ensemble;5019573;;;;52,1;39,2;37,2;16,9;18,6;1,9;37,9;5,1;21,2;20,1;1537600;3628200;321600;705700;107600;402700;167900;90500;42500;1574900;250500;254200;407600;294900;202500;165200;
QP001001;6056;7886;40490;Bourg-en-Bresse;54,5;36,1;31,8;23,8;28,2;1,3;45,2;;21,1;20,4;1859;4439;311;835;149;564;247;121;55;1865;297;311;492;352;242;171;0
QP001002;1830;7886;40490;Bourg-en-Bresse;50,3;31,2;29,8;25,2;;1;55,6;;28,4;29,4;715;1444;98;402;74;141;56;32;;509;101;98;125;78;59;48;0
QP001003;1807;1807;9635;Saint-Genis-Pouilly;50,3;34,8;33,2;13,5;14,1;2,1;37,6;3,8;27,6;25,8;282;737;64;106;21;91;37;12;;339;47;64;93;70;46;19;0
QP001004;1378;1378;9236;Ferney-Voltaire;52,6;39,1;35,9;13,6;14,2;2,4;39,6;4,7;20,1;20,9;280;744;56;119;18;87;44;6;;358;35;53;99;89;50;32;0
QP001005;1677;1677;14359;Ambérieu-en-Bugey;51,6;44,4;42,6;11;;3,3;32,9;;21,9;21,3;511;1275;115;200;39;157;63;38;;569;92;98;143;119;71;46;0
QP001006;4467;4467;22258;Oyonnax;53,8;40,1;37,8;18,5;19,1;1,9;27,1;5,8;35,1;34,4;1270;3582;226;387;162;495;250;47;;1646;226;230;466;352;226;146;0
QP001007;1034;1034;3646;Bellignat;51,7;41,7;41,6;12,1;11,7;3;35,2;4,1;30,4;30,7;316;872;60;103;31;122;55;14;;406;64;70;119;81;44;28;0
QP001008;1012;1012;8909;Belley;52,3;42,5;40,3;16,4;16,9;2,2;41,5;5,7;28,7;27,9;276;765;48;96;33;99;54;13;;358;61;56;114;64;43;20;0
QP001009;1092;1092;7074;Montluel;50,1;39,1;39,6;15;15,3;2;36,3;5,9;20,8;20,7;265;669;27;110;34;94;46;19;;273;48;45;85;48;26;21;0
QP002001;6059;12277;55698;Saint-Quentin;57,1;34,5;30,6;27,2;31,7;1;44,8;2,6;12,3;11,3;2014;4482;456;984;175;399;157;131;5;1881;278;301;478;351;248;225;0
QP002002;2763;12277;55698;Saint-Quentin;53,2;38,5;34,2;18,6;21,7;1,6;43,8;;6,7;6;882;1802;174;465;84;159;58;98;76;677;108;94;164;136;92;83;0
QP002003;1705;12277;55698;Saint-Quentin;58,3;37,8;35,2;22;25;1,3;43;0,5;3,5;3,6;609;1275;161;279;49;120;37;61;;503;89;93;125;78;71;47;0
QP002004;1750;12277;55698;Saint-Quentin;54;41,8;40,5;17,6;22,8;1,9;39,1;;8;;658;1437;127;313;54;164;53;56;;562;114;106;132;102;56;52;0
QP002005;1606;2600;9346;Hirson;51,5;35,1;33,6;22,1;26,2;1,3;46,8;1,8;2,6;2;493;1029;101;246;51;95;32;39;;394;63;59;95;79;54;44;0
QP002006;994;2600;9346;Hirson;52,1;34,3;32,2;23,8;27,1;1,2;47,5;4;1,2;0,6;296;650;53;145;32;66;26;29;;264;38;42;72;44;36;32;0
QP002007;1311;1311;2915;La Fère;55,1;44,1;41,3;14,4;17,5;2,5;39;5;3,6;3,5;425;993;110;178;37;100;40;38;;435;60;78;104;83;63;47;0
QP002008;1315;1315;13938;Tergnier;54,9;44,7;49,3;;;2,7;43;;;;384;817;81;199;27;77;28;47;;327;51;53;79;61;45;38;0
QP002009;1823;1823;11874;Chauny;53,4;36,9;33,8;17,5;19,4;1,8;40,5;;4,6;;806;1599;194;424;66;122;46;55;;607;103;102;131;131;73;67;0
QP002010;1376;5772;25219;Laon;54;34,1;30;25,9;31,3;1;57,7;;6;;572;1222;132;280;43;117;49;41;;490;80;72;136;92;64;46;0
QP002011;4396;5772;25219;Laon;54,1;43,3;39,4;16,8;20,9;2,1;39,8;;10,8;10,2;1506;3394;387;681;122;316;111;167;5;1446;274;244;323;230;202;173;0
QP002012;2275;8829;28472;Soissons;57,9;29,2;;25,2;30,1;1;51,5;;;;882;1591;157;528;82;115;35;53;;521;77;82;135;100;68;59;0
QP002013;5519;8829;28472;Soissons;53,2;42,8;38,9;14,5;16,8;2,4;35,7;4,6;19,5;19,6;1763;4236;400;754;150;459;201;92;;1842;296;343;511;292;227;173;0
QP002014;1035;8829;28472;Soissons;47,8;47;;;;4,4;34,5;;22;19,8;378;1050;80;139;38;121;56;37;;509;75;85;142;82;72;53;0
QP002015;1318;1318;10797;Villers-Cotterêts;49,9;37,5;38,7;16,1;;1,7;33;;;;343;787;83;143;37;80;27;30;;322;57;68;85;45;38;29;0
QP002016;1168;2937;14189;Château-Thierry;56;43,7;40,3;;;3;31,6;5,3;11;12,3;294;764;110;93;13;78;30;39;;378;70;63;107;66;45;27;0
QP002017;1769;2937;14189;Château-Thierry;54;39;35,5;16,9;;1,8;35,2;;12;11,7;592;1447;180;211;39;162;55;24;;652;93;127;191;109;76;56;0
QP003001;3887;5568;38870;Cusset, Vichy;53,7;33,5;28,5;25,3;28,9;1;55,2;;11,7;10,6;1533;2622;210;1003;109;211;57;189;114;778;129;124;200;141;118;66;0
QP003002;1681;4361;25325;Vichy;61,3;36,3;29,1;29,5;36,2;1,1;48,3;;16,4;16,2;605;1262;163;295;45;102;30;30;;508;71;77;129;95;70;66;0
QP003003;3414;3414;19474;Moulins;53;30,3;26,5;26,9;30,9;0,9;58,7;;11,5;9,8;1343;2682;301;739;86;217;88;93;9;1047;188;179;264;183;139;94;0
QP003004;2841;5271;37839;Montluçon;53,4;33;27,6;28,2;33,3;0,9;56,8;;14,7;14,3;945;1866;149;544;80;172;57;132;38;675;110;118;162;130;85;70;0
QP003005;1234;5371;40247;Montluçon, Prémilhat;44,6;42,6;35,3;18,8;21,4;1,6;63,2;1,4;11,3;12,6;508;813;62;367;28;51;19;50;93;231;34;31;53;46;38;29;0
QP003006;1323;5298;46872;Domérat, Montluçon;57,1;46,9;43,5;15;;2,5;35,6;;13,8;9,5;314;724;97;140;19;58;23;17;;330;56;55;93;54;42;30;0
QP004001;2100;2100;16512;Digne-les-Bains;50,2;30;27,1;24,5;29,2;0,9;60,2;;14,1;13,2;875;1457;136;583;56;100;31;75;80;435;65;79;99;83;60;49;0
QP004002;3427;5489;22412;Manosque;50,1;31,3;30,6;26,2;28,1;1;51,7;;10,7;11,3;1044;1937;176;620;75;173;58;137;21;648;121;101;155;123;95;53;0
QP004003;2062;5489;22412;Manosque;48,6;38;39,7;24;24,5;1,4;37,7;9,2;21,7;21,2;480;1228;94;209;33;144;67;21;;572;82;100;158;111;79;42;0
QP005001;1441;1441;40255;Gap;51;39,8;35,8;;;;43,1;;28,9;26,9;321;787;73;137;17;94;45;13;;353;55;44;93;75;47;39;0
QP006001;1328;38218;342295;Nice;55,9;;;26,1;31;1,1;42,8;;;;441;902;117;237;24;63;32;10;;365;44;41;103;87;51;39;0
QP006002;3347;3347;26465;Vallauris;51,9;32,4;33,1;20,8;19,6;1,3;32,4;3,4;30,3;27,3;952;2059;157;463;91;241;70;55;9;774;98;112;210;159;106;89;0
QP006003;4029;6038;116512;Cannes, Le Cannet;55,3;32,1;31,2;26,4;28,8;1;42,1;2,3;11,8;11,9;1355;3167;332;602;81;340;131;48;;1391;155;174;390;313;206;153;0
QP006004;2009;6038;116512;Cannes, Le Cannet;54,8;33,5;28,2;26,1;29,8;1,1;28,2;;11,4;11,5;544;1341;129;229;32;154;64;17;;604;65;74;152;135;109;69;0
QP006005;6984;8391;50916;Grasse;50,4;36,5;36,2;14,8;15,6;2;41,6;3,2;24,6;22,7;2055;4576;477;926;154;498;148;132;14;1868;322;287;509;353;242;155;0
QP006006;1407;8391;50916;Grasse;53,3;38,5;;;;1,7;22,5;;23,9;22,5;402;1021;63;157;38;144;54;13;;435;54;72;121;78;57;53;0
QP006007;1555;1555;4317;Drap;50,3;44,7;42,2;13,2;12,7;2,9;18,7;8,7;19,5;17,4;331;1047;89;83;12;147;73;13;;558;57;87;149;122;77;66;0
QP006008;2001;2001;11756;Carros;55,4;39,3;37,9;18,7;18,1;1,8;19,5;9,8;16,1;14,5;530;1444;126;186;32;186;88;10;;700;99;111;190;140;105;55;0
QP006009;1008;38218;342295;Nice;;;;;;;;;;;930;941;;920;;;;;;;;;;;;;0
QP006010;7795;38601;371186;Nice, Saint-Laurent-du-Var;51,3;40,8;35,4;19;21,4;1,7;27,7;7,5;22,2;23;2160;5287;576;902;181;501;250;67;8;2425;317;341;583;498;350;336;0
QP006011;1281;38218;342295;Nice;49,7;35,3;32,2;22;25,9;1,3;42,3;7,1;32,6;27,9;262;668;51;106;15;90;40;12;;300;65;57;70;50;31;27;0
QP006012;3859;38218;342295;Nice;50,4;27,9;24,9;27,9;32;0,8;54,1;;23,5;22,3;1401;2603;217;875;63;246;72;87;160;890;149;163;243;160;90;85;0
QP006013;11919;38218;342295;Nice;51,6;41,3;37,9;15,8;17,2;2,1;32,1;5,4;24,8;24,1;4328;10300;1033;1912;323;1060;456;286;75;4572;702;720;1163;882;581;524;0
QP006014;10217;38755;347702;Nice, Saint-André-de-la-Roche;51,9;45,3;44,5;16,1;15,6;2,4;22;12,6;35,3;34,1;3249;9452;667;1082;263;1237;604;161;6;4672;772;813;1185;896;562;444;0
QP006015;1731;38218;342295;Nice;50,4;33,5;32,1;22,2;;1,2;43,7;;21,2;17,9;621;1212;93;364;41;123;33;36;57;428;77;80;98;75;64;34;0
QP006016;1958;1958;19052;Vence;50,3;30;27,9;25,6;;0,9;50,3;;17,3;;512;1023;91;262;49;110;32;30;6;355;55;50;82;79;47;42;0
QP007001;1776;1776;11803;Aubenas;50,6;35,4;33,3;22,2;26,3;1,3;52,2;;17,7;;761;1549;133;406;70;152;55;55;33;564;85;75;150;127;77;50;0
QP007002;1178;2302;8292;Le Teil;52,9;33,5;30,5;22,1;26,6;1;51,8;1,7;10,6;9,1;358;723;78;194;24;62;26;33;;283;43;37;71;66;39;27;0
QP007003;1124;2302;8292;Le Teil;53,5;34;34,8;22;22,8;1,4;41,9;3,9;20,3;20,6;332;784;58;153;32;89;42;18;;329;49;50;91;65;49;25;0
QP007004;1822;1822;16075;Annonay;47,4;36,9;36,1;17,9;20;1,5;59,1;3;14,6;13,6;834;1854;154;424;63;193;87;74;41;762;151;113;209;130;99;60;0
QP007005;1249;1249;8305;Privas;57,1;31;28,1;27,2;32,3;0,9;53,1;2,7;19,8;19,5;418;825;81;253;28;56;30;49;6;327;53;48;96;53;47;30;0
QP008001;2450;13773;48991;Charleville-Mézières;53,8;28,2;23,5;28,7;31,5;0,8;53,2;;7,8;7,7;896;1772;181;486;79;150;53;63;;641;104;97;153;118;95;74;0
QP008002;7463;13773;48991;Charleville-Mézières;52,6;38,1;34,7;20,5;22,7;1,5;40;4;19,3;17,9;2296;5120;439;1115;213;529;222;131;7;2068;337;337;515;367;270;242;0
QP008003;2020;13773;48991;Charleville-Mézières;50,7;34,3;32,9;22;24,9;1,3;47,9;;10,3;10,4;830;1597;153;463;69;145;41;49;7;544;86;99;132;98;68;61;0
QP008004;1840;13773;48991;Charleville-Mézières;45,1;36,1;31;18,7;25,7;1,2;50,7;;;;574;1156;127;301;46;100;28;44;5;435;91;67;108;71;53;45;0
QP008005;1247;7387;18134;Sedan;49,6;36,7;33,6;;;1,4;20,7;4,8;16,6;17,4;377;899;63;158;48;108;44;17;;360;48;35;88;79;55;55;0
QP008006;1113;7387;18134;Sedan;50,1;30,1;;;;;54,4;;;;394;714;74;235;35;50;15;37;;233;26;41;58;47;33;28;0
QP008007;5027;7387;18134;Sedan;53,8;34,5;33,2;18,7;20,5;1,3;54;1,5;6,9;5,7;1884;3550;369;1090;158;267;88;137;22;1244;190;175;281;248;175;175;0
QP008008;1287;1287;7730;Rethel;55,6;34,5;35,1;21,7;24,2;1,2;51;1,8;1;0,7;409;827;78;216;34;81;27;40;;300;57;42;78;59;42;22;0
QP009001;1177;1177;6289;Saint-Girons;53,5;25,6;24,4;29,6;35,5;0,7;68,1;0,5;11;9,1;464;692;58;346;22;38;8;61;12;168;32;23;41;31;24;17;0
QP009002;1236;1236;9731;Foix;54,6;32,5;35,8;22,9;27,5;0,7;72,1;0,2;9,4;8,6;690;903;77;551;35;27;8;93;111;153;32;24;33;28;19;17;0
QP009003;4291;4291;15744;Pamiers;53,4;34,7;32,7;25;27,1;1;60,1;;11,8;9,9;1582;2842;355;945;92;190;54;206;67;974;167;162;238;186;127;94;0
QP010001;1430;12958;59671;Troyes;54,8;;;29,5;35,3;;54,3;;;;462;1049;134;218;33;77;31;44;27;480;56;76;129;89;72;58;0
QP010002;2951;12958;59671;Troyes;54,5;40,1;37;16,5;20,3;1,7;54,3;;17,4;17,5;1098;1964;225;677;54;142;39;83;165;679;126;91;194;119;89;60;0
QP010003;7736;20408;75492;La Chapelle-Saint-Luc, Les Noës-près-Troyes, Troyes;51,9;41,8;38,5;17,3;19,3;2;38,3;5,7;25,7;25,9;2302;5458;520;1029;220;533;247;140;16;2385;397;386;666;434;277;225;0
QP010004;1684;1684;4867;Pont-Sainte-Marie;52;46,7;44,2;11,6;13,1;3,4;28,4;5,2;16;17,1;440;1145;114;167;39;120;61;30;;548;65;96;145;116;78;48;0
QP010005;1461;1461;11770;Saint-André-les-Vergers;55,8;46,2;38,9;13,4;16,9;3,1;33,1;7,4;24,6;23,6;494;1199;174;188;35;97;35;35;7;577;79;95;158;123;67;55;0
QP010006;4020;12958;59671;Troyes;51,8;39,3;37,3;19,4;21,5;1,6;53,2;;21,3;19,1;1598;3366;382;849;85;282;112;130;152;1396;284;260;376;227;144;105;0
QP010007;1695;12958;59671;Troyes;48,6;;;19,7;20,8;;55,7;;30,1;30,1;695;1443;129;407;38;121;56;47;46;586;87;96;170;103;75;55;0
QP010008;1387;12958;59671;Troyes;51,5;45,9;40,8;12,1;;3,2;27,9;;19;17,6;575;1235;119;304;43;109;46;34;;510;112;87;124;90;58;39;0
QP010009;1189;12958;59671;Troyes;50,7;45;43;16,2;16,3;2,3;30,1;11;24,3;24;385;929;63;190;38;94;56;23;;408;57;63;117;79;54;38;0
QP010010;1668;1668;14352;Romilly-sur-Seine;55;37,5;38,3;20,4;22,2;1,6;51,7;;26,1;27,7;666;1332;141;339;71;115;31;45;;477;84;85;137;74;60;37;0
QP011001;2050;2050;10166;Limoux;51;29,9;27,8;25,5;30,3;0,8;56,2;0,9;13,1;11,5;743;1176;140;491;50;62;14;95;13;330;51;53;79;61;47;39;0
QP011002;2060;9831;46724;Carcassonne;53,5;40,6;38,5;17,8;;2;33,9;;24,9;22,6;759;1971;173;292;72;222;107;42;;911;105;129;229;191;128;129;0
QP011003;1862;9831;46724;Carcassonne;52,4;39,2;;;;1,6;45,7;;38,3;36,5;653;1413;106;328;75;144;67;46;8;548;78;95;161;101;66;47;0
QP011004;3775;9831;46724;Carcassonne;52,3;33,7;32,6;21,6;24,8;1,1;65,5;;10,6;;1912;3021;326;1332;103;151;36;230;128;861;147;126;184;185;110;109;0
QP011005;1050;9831;46724;Carcassonne;57,8;36,6;31,7;26,5;27,9;1,2;40,7;;22,9;21,6;270;670;71;108;20;71;26;7;;308;46;55;79;56;39;33;0
QP011006;1084;9831;46724;Carcassonne;56,1;42,9;;;;2,1;32,6;;;;369;804;106;173;27;63;25;15;;351;36;50;95;76;47;47;0
QP011007;4031;10384;52802;Narbonne;52,2;36,8;34,1;21,4;22,3;1,5;31,9;;17,9;16,4;1133;2561;242;508;125;258;109;43;;1043;153;186;267;190;128;119;0
QP011008;4661;10384;52802;Narbonne;54,6;35,3;34,9;19,9;23,5;1,2;59,7;;10;9,2;2522;4027;470;1708;131;213;44;307;139;1166;215;182;265;214;173;117;0
QP011009;1692;10384;52802;Narbonne;52,1;39,8;37,1;20,7;23,1;1,6;35,8;;;;634;1352;148;316;38;132;40;39;19;546;92;93;155;87;72;47;0
QP011010;2993;2993;11223;Lézignan-Corbières;52,5;33,4;30,5;28,7;32,7;0,9;39,3;2,4;7,1;7;883;1921;193;417;80;193;64;104;;780;145;118;191;129;125;72;0
QP012001;1540;1540;11604;Onet-le-Château;50,3;40,3;37,8;16,1;18;2,2;33,2;6,5;30,2;29,5;428;1097;70;172;46;140;65;27;;484;79;92;135;88;47;43;0
QP012002;2091;2091;11909;Villefranche-de-Rouergue;49,8;38,4;36,2;18,7;22,4;1,5;57,8;;19,5;17,2;745;1360;130;452;55;108;41;102;25;458;66;78;128;86;63;37;0
QP013001;945;7039;33986;Marignane;55,5;;;;;;37,8;;21,3;20,5;325;852;43;117;44;121;49;20;;360;47;61;99;59;48;46;0
QP013002;1080;3041;13937;Berre-l'Étang;37,3;28,6;33,4;33,4;;0,8;33,6;;14,5;15,6;249;569;49;117;22;61;29;;;237;35;40;73;40;30;19;0
QP013003;2019;5470;16883;Marseille 16e Arrondissement;54,9;39,3;35,2;17,5;19,2;1,8;36,3;;7,1;7,2;609;1470;147;267;36;159;67;25;;662;87;80;152;123;111;109;0
QP013004;1226;1226;19844;Gardanne;;;;;;;;;;;263;753;86;70;6;101;29;10;;384;38;63;115;89;49;30;0
