"CODGEO";"POP_MUN";"POP_COM_QP";"POP_COM";"TX_F";"TX_TOT_0A24";"TX_F_0A24";"TX_TOT_60ETPLUS";"TX_F_60ETPLUS";"IND_JEUNE";"TX_TOT_MEN1";"TX_TOT_MEN6";"TX_TOT_ET";"TX_F_ET";"NOTE_RP";"A";"PERCOU";"AM";"AI";"ACSSENF";"ACAVENF";"AC3ENF";"A_NETUD_24";"A_ETUD";"ENF";"ENF_2";"ENF_3_5";"ENF_6_10";"ENF_11_14";"ENF_15_17";"ENF_18_24";"NOTE_CNAF"
"QP001001";6490;8416;41248;54,2;36,5;32,8;23;26,6;1,3;43,5;4,6;24,9;24;0;1991;4635;335;921;180;555;250;147;55;1909;322;297;472;366;269;183;0
"QP001002";1926;8416;41248;47,6;32,9;31,7;22,1;;1,3;52,9;;27,8;29,9;0;726;1412;93;435;68;130;59;34;;483;76;84;124;90;67;42;0
"QP001003";1620;1620;13243;51;33,1;32,7;17,9;20,2;1,5;38,4;3,5;34,3;31,5;0;272;716;48;112;20;92;42;15;;326;58;43;96;64;42;23;0
"QP001004";1173;1173;9895;55,3;40,9;38,9;15,8;16,7;2,2;32;7,4;23,6;24,7;0;299;761;62;134;14;89;42;8;;358;29;51;83;89;67;39;0
"QP001005";1568;1568;14204;49,4;41,3;36,8;;;2,5;33,6;3,3;31;29,1;0;531;1283;113;223;39;156;67;42;5;556;94;91;150;98;64;59;0
"QP001006";4876;4876;22336;53,3;41,4;39,4;18,4;19;2;25,6;6,8;37;36,3;0;1268;3552;209;419;157;483;253;49;;1634;199;229;447;376;250;133;0
"QP001007";1064;1064;3632;51,5;41,7;41,8;12,1;11,7;3;35,2;4,1;30,4;30,8;0;336;875;54;130;33;119;50;17;;389;52;65;112;82;49;29;0
"QP001008";927;927;9122;52,3;42,1;40,1;16,7;17,2;2,2;42;5,6;28,6;27,9;0;269;728;41;104;27;97;53;16;;335;58;50;81;81;33;32;0
"QP001009";1033;1033;6925;50,7;36,3;38,2;19;20,9;1,5;41,3;6,8;24,9;24,8;0;278;667;25;130;34;89;44;22;;264;44;43;70;57;24;26;0
"QP002001";6034;11723;53856;57,5;33,9;30,1;30,1;34,8;0,9;48,6;2,9;12,8;13,1;0;2120;4624;482;1062;188;388;163;139;;1916;283;288;506;353;259;227;0
"QP002002";2427;11723;53856;52,4;38;33,2;18,3;21,7;1,6;49,6;;7,4;;0;935;1847;189;509;83;154;55;111;61;679;94;97;172;131;87;98;0
"QP002003";1511;11723;53856;58,7;35,9;31,8;25,9;29,4;1,1;46,5;;1,4;1,6;0;653;1304;176;311;59;107;31;58;;492;79;91;135;83;52;52;0
"QP002004";1751;11723;53856;52,3;38,3;35,1;;23,1;1,7;42,4;;9,8;;0;702;1445;143;365;57;137;55;59;;547;91;92;143;107;64;50;0
"QP002005";1314;2272;8800;51,4;34,6;33,2;22,3;26,6;1,3;47;2;2,8;1,9;0;519;1077;100;267;52;100;30;38;;405;57;58;94;82;59;55;0
"QP002006";958;2272;8800;52;34,7;32,5;23,5;26,8;1,2;47,3;3,9;1,2;0,6;0;296;596;46;166;27;57;20;30;5;218;30;36;54;40;35;23;0
"QP002007";1218;1218;2847;54,9;41,2;40,1;15,7;18,8;2,2;38,6;3,9;3,9;3,7;0;427;945;114;190;39;84;34;34;7;402;51;68;99;77;46;61;0
"QP002008";1186;1186;13547;54,1;42,2;43,6;;;;46,7;;;;0;407;889;80;204;39;84;36;42;;355;53;47;96;81;44;34;0
"QP002009";1852;1852;11773;54,1;41;37,1;16,2;18,5;2,2;39,4;4,7;6,8;;0;731;1475;186;388;46;111;41;38;;586;72;85;143;124;96;66;0
"QP002010";1461;5597;24710;53,7;35,1;31,2;24,5;29,2;1,2;57,1;;7,9;6,4;0;611;1287;134;316;44;117;55;45;;518;80;83;113;100;83;59;0
"QP002011";4136;5597;24710;53,1;41,9;38,5;18;21,8;1,9;42,5;3,8;10,8;10,2;0;1446;3279;385;661;117;283;113;122;;1424;250;231;354;238;165;186;0
"QP002012";2081;9085;28522;56,4;26,7;24,5;27,6;32,9;0,8;55;;5,6;;0;917;1589;146;573;89;109;33;41;;482;78;73;122;99;58;52;0
"QP002013";5766;9085;28522;51,4;42,5;38;15,1;17,9;2,4;36,4;5,5;24,8;24,6;0;1791;4276;392;770;176;453;195;84;;1842;283;323;520;302;220;194;0
"QP002014";1238;9085;28522;49,8;52;52,9;;;;31;;25,2;22,6;0;452;1230;78;179;45;150;69;44;;574;83;87;165;102;80;57;0
"QP002015";1080;1080;10676;50,7;34,3;38,6;18,9;19,2;1,4;35,5;;;;0;364;757;85;170;47;62;19;30;;285;44;56;84;47;29;25;0
