CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
01001;L'Abergement-Clémenciat;304;800;522,7;;21576,7;;;;;;;;;;;;;;;;;;;;;;
01002;L'Abergement-de-Varey;100;236;158,3;;21672,9;;;;;;;;;;;;;;;;;;;;;;
01004;Ambérieu-en-Bugey;6087;13661;9361,2;14340,0;19756,1;25954,0;11614,0;10545,7;13184,7;15507,3;17564,0;21840,0;24469,2;27991,3;33376,5;3,2;3,8;0,3;67,9;3,9;27,3;10,1;6,5;2,8;1,8;1,9;-15,7
01005;Ambérieux-en-Dombes;603;1662;1068,1;;23204,8;;;;;;;;;;;;;;;;;;;;;;
01006;Ambléon;48;102;72,8;;22157,5;;;;;;;;;;;;;;;;;;;;;;
01007;Ambronay;1030;2635;1722,0;17203,0;21679,3;27907,6;10704,6;12797,2;15976,0;18484,8;20081,7;23106,7;25679,4;29840,0;34818,9;2,7;3,1;0,2;73,8;2,5;26,5;8,2;4,3;2,7;0,8;0,8;-15,3
01008;Ambutrix;297;737;491,2;;23839,0;;;;;;;;;;;;;;;;;;;;;;
01009;Andert-et-Condon;141;345;231,1;;21824,0;;;;;;;;;;;;;;;;;;;;;;
01010;Anglefort;434;1028;687,1;;21962,0;;;;;;;;;;;;;;;;;;;;;;
01011;Apremont;141;372;242,5;;21885,7;;;;;;;;;;;;;;;;;;;;;;
01012;Aranc;142;324;220,3;;20885,7;;;;;;;;;;;;;;;;;;;;;;
01013;Arandas;64;146;100,0;;20654,1;;;;;;;;;;;;;;;;;;;;;;
01014;Arbent;1306;3513;2283,8;15272,4;19806,0;26160,0;10887,6;11850,0;14354,0;16150,5;17992,8;21775,0;24286,9;27703,0;33814,5;2,9;4,1;0,3;68,7;2,2;27,5;14,3;4,9;2,6;1,2;1,2;-17,6
01015;Arbignieu;208;492;335,8;;22107,3;;;;;;;;;;;;;;;;;;;;;;
01016;Arbigny;172;459;294,9;;20138,1;;;;;;;;;;;;;;;;;;;;;;
01017;Argis;189;442;299,1;;18959,3;;;;;;;;;;;;;;;;;;;;;;
01021;Ars-sur-Formans;486;1282;831,0;;22680,4;;;;;;;;;;;;;;;;;;;;;;
01022;Artemare;555;1183;832,8;;18886,7;;;;;;;;;;;;;;;;;;;;;;
01024;Attignat;1231;3234;2097,2;17169,0;21142,9;26330,0;9161,0;13690,0;16108,7;18152,6;19786,7;22895,0;25019,3;27918,0;33516,2;2,4;2,9;0,2;76,4;3,8;23,7;7,8;4,0;2,8;0,5;0,7;-15,7
01025;Bâgé-la-Ville;1181;3234;2072,4;17543,3;21780,5;26831,3;9288,0;13964,5;16487,0;18301,1;20125,5;23470,0;25334,8;28536,0;34036,7;2,4;3,1;0,2;73,1;5,2;21,2;12,2;4,1;2,9;0,5;0,7;-15,8
01026;Bâgé-le-Châtel;368;829;570,7;;20700,7;;;;;;;;;;;;;;;;;;;;;;
01027;Balan;645;1799;1136,4;;22310,0;;;;;;;;;;;;;;;;;;;;;;
01028;Baneins;223;593;386,3;;21597,5;;;;;;;;;;;;;;;;;;;;;;
01029;Beaupont;247;588;392,4;;18909,2;;;;;;;;;;;;;;;;;;;;;;
01030;Beauregard;366;924;606,4;;19958,2;;;;;;;;;;;;;;;;;;;;;;
01031;Bellignat;1556;3585;2431,5;13800,4;18911,0;24572,0;10771,6;10302,9;12746,9;14695,3;17074,7;20673,6;23157,1;26536,0;33234,5;3,2;4,0;0,3;66,7;2,0;28,7;9,9;7,4;3,1;2,0;2,3;-14,7
01032;Béligneux;1165;3310;2067,6;15536,9;20611,9;26340,4;10803,5;12352,9;14531,5;16514,8;18436,3;22749,7;24951,2;28141,0;33148,8;2,7;3,2;0,2;78,3;2,9;20,2;7,7;5,6;3,7;0,8;1,1;-14,7
01033;Bellegarde-sur-Valserine;4877;11190;7607,1;13871,0;19347,0;27457,6;13586,6;9757,5;12645,8;14854,5;16884,6;22160,0;25245,4;30368,7;39310,0;4,0;4,9;0,3;72,5;2,7;25,4;7,0;5,7;2,3;1,7;1,7;-13,3
01034;Belley;3968;8836;6067,2;13636,0;18563,0;24431,3;10795,3;10178,5;12555,7;14687,0;16531,5;20466,0;22916,1;26444,0;32882,8;3,2;4,0;0,3;61,4;4,5;31,2;11,1;7,1;2,9;2,2;2,0;-15,3
01035;Belleydoux;143;329;225,8;;21988,7;;;;;;;;;;;;;;;;;;;;;;
01036;Belmont-Luthézieu;246;570;387,6;;20631,6;;;;;;;;;;;;;;;;;;;;;;
01037;Bénonces;108;252;170,2;;19961,3;;;;;;;;;;;;;;;;;;;;;;
01038;Bény;288;731;480,8;;21310,0;;;;;;;;;;;;;;;;;;;;;;
01039;Béon;188;477;315,3;;19799,0;;;;;;;;;;;;;;;;;;;;;;
01040;Béréziat;180;485;312,3;;20358,3;;;;;;;;;;;;;;;;;;;;;;
01041;Bettant;321;783;525,3;;21695,6;;;;;;;;;;;;;;;;;;;;;;
01042;Bey;104;279;182,5;;23672,0;;;;;;;;;;;;;;;;;;;;;;
01043;Beynost;1732;4582;2998,3;19213,3;25512,5;34247,5;15034,2;14487,6;17729,1;20744,3;22927,6;28783,0;32362,0;36481,8;45108,6;3,1;3,7;0,3;72,3;6,2;25,9;12,6;2,7;1,8;0,4;0,5;-19,7
01044;Billiat;234;598;387,7;;26489,5;;;;;;;;;;;;;;;;;;;;;;
01045;Birieux;100;297;183,5;;23163,0;;;;;;;;;;;;;;;;;;;;;;
01046;Biziat;316;844;542,2;;20914,5;;;;;;;;;;;;;;;;;;;;;;
01047;Blyes;360;1001;636,3;;24717,0;;;;;;;;;;;;;;;;;;;;;;
01049;La Boisse;1076;2918;1893,4;18987,1;24752,7;31641,0;12653,9;14657,8;17632,2;20239,0;22120,6;27373,8;29734,6;33472,7;38767,0;2,6;3,2;0,2;74,9;4,3;24,4;10,7;3,1;2,2;0,5;0,4;-17,4
01050;Boissey;126;328;211,2;;19316,2;;;;;;;;;;;;;;;;;;;;;;
01052;Bouligneux;128;308;209,9;;24640,7;;;;;;;;;;;;;;;;;;;;;;
01053;Bourg-en-Bresse;18545;37773;26909,8;13211,5;18179,5;24529,3;11317,8;9586,0;12203,3;14230,3;16157,0;20274,5;22882,7;26767,3;33594,2;3,5;4,3;0,3;62,2;3,8;32,9;9,3;7,8;2,6;2,7;2,5;-16,0
01054;Bourg-Saint-Christophe;476;1327;841,6;;25205,7;;;;;;;;;;;;;;;;;;;;;;
01056;Boyeux-Saint-Jérôme;148;352;236,4;;20164,0;;;;;;;;;;;;;;;;;;;;;;
01057;Boz;196;497;327,0;;19961,3;;;;;;;;;;;;;;;;;;;;;;
01058;Brégnier-Cordon;332;833;548,2;;20269,0;;;;;;;;;;;;;;;;;;;;;;
01059;Brénaz;42;105;70,7;;19556,0;;;;;;;;;;;;;;;;;;;;;;
01060;Brénod;236;555;377,5;;22238,1;;;;;;;;;;;;;;;;;;;;;;
01061;Brens;433;1199;768,5;;22449,2;;;;;;;;;;;;;;;;;;;;;;
01062;Bressolles;298;810;519,1;;25766,7;;;;;;;;;;;;;;;;;;;;;;
01063;Brion;214;526;352,9;;23506,0;;;;;;;;;;;;;;;;;;;;;;
01064;Briord;385;971;639,0;;19997,4;;;;;;;;;;;;;;;;;;;;;;
01065;Buellas;705;1821;1196,9;;23229,0;;;;;;;;;;;;;;;;;;;;;;
01067;Ceignes;109;272;180,9;;21235,2;;;;;;;;;;;;;;;;;;;;;;
01068;Cerdon;296;684;464,1;;19423,4;;;;;;;;;;;;;;;;;;;;;;
01069;Certines;596;1513;999,8;;22415,0;;;;;;;;;;;;;;;;;;;;;;
01071;Cessy;1678;4317;2810,8;21525,7;35676,7;52025,0;30499,3;13662,0;18961,7;24507,8;29597,8;41681,0;48508,6;56699,0;73430,0;5,4;7,3;0,4;91,5;2,8;13,9;8,5;1,1;0,7;0,2;0,3;-17,8
