CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PCHO15;PTSA15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15
01001;L'Abergement-Clémenciat;308,0;801,0;527,1;;22228,0;;;;;;;;;;;;;;;;;;;;;;;;
01002;L'Abergement-de-Varey;100,0;245,5;162,5;;22883,3;;;;;;;;;;;;;;;;;;;;;;;;
01004;Ambérieu-en-Bugey;6216,0;13917,0;9543,7;14314,0;19735,2;26194,7;11880,7;10398,6;13079,0;15422,9;17529,6;22040,0;24537,3;28005,2;33801,2;3,3;3,9;0,3;72,7;3,3;65,6;3,9;26,9;9,5;6,7;2,7;2,0;2,0;-15,8
01005;Ambérieux-en-Dombes;624,0;1671,5;1082,0;;23182,7;;;;;;;;;;;;;;;;;;;;;;;;
01007;Ambronay;1044,0;2635,5;1732,7;17564,0;21986,5;27836,7;10272,7;13620,7;16568,0;18671,3;20358,0;24058,7;26197,3;30092,7;34606,9;2,5;3,0;0,2;76,3;2,5;71,2;2,6;26,7;8,1;4,0;2,4;0,8;0,8;-15,1
01008;Ambutrix;308,0;768,0;510,7;;24389,1;;;;;;;;;;;;;;;;;;;;;;;;
01009;Andert-et-Condon;137,0;327,5;223,4;;23070,7;;;;;;;;;;;;;;;;;;;;;;;;
01010;Anglefort;436,0;1049,0;697,5;;22527,3;;;;;;;;;;;;;;;;;;;;;;;;
01011;Apremont;142,0;368,5;241,1;;22300,7;;;;;;;;;;;;;;;;;;;;;;;;
01012;Aranc;145,0;333,5;226,2;;22014,0;;;;;;;;;;;;;;;;;;;;;;;;
01013;Arandas;65,0;143,5;99,8;;19886,0;;;;;;;;;;;;;;;;;;;;;;;;
01014;Arbent;1298,0;3453,5;2252,3;15794,7;20272,6;26065,6;10270,9;12562,5;14959,0;16706,9;18459,1;22498,7;24820,7;28044,0;34165,6;2,7;3,8;0,3;71,9;3,3;66,7;2,0;27,9;12,8;4,7;2,4;1,2;1,1;-17,3
01015;Arboys en Bugey;277,0;655,0;445,2;;22070,7;;;;;;;;;;;;;;;;;;;;;;;;
01016;Arbigny;176,0;460,0;298,6;;21124,3;;;;;;;;;;;;;;;;;;;;;;;;
01017;Argis;193,0;457,0;307,2;;18925,6;;;;;;;;;;;;;;;;;;;;;;;;
01021;Ars-sur-Formans;495,0;1276,5;833,1;;22934,8;;;;;;;;;;;;;;;;;;;;;;;;
01022;Artemare;550,0;1180,0;830,1;;19515,0;;;;;;;;;;;;;;;;;;;;;;;;
01024;Attignat;1246,0;3262,0;2119,2;17405,3;21533,3;26537,6;9132,3;13777,1;16194,0;18160,7;19853,3;22997,0;25434,0;28606,7;33165,3;2,4;2,9;0,2;79,2;2,3;72,6;4,4;24,8;7,6;3,9;2,7;0,5;0,7;-15,5
01025;Bâgé-la-Ville;1184,0;3220,5;2069,2;17707,2;21632,9;26802,2;9095,0;13703,0;16629,6;18760,9;20215,2;23519,1;25460,4;28366,0;32973,3;2,4;3,0;0,2;79,3;2,4;72,5;4,5;22,7;9,6;3,9;2,7;0,6;0,6;-15,5
01026;Bâgé-le-Châtel;376,0;828,5;573,6;;20976,7;;;;;;;;;;;;;;;;;;;;;;;;
01027;Balan;649,0;1813,5;1147,7;;22961,0;;;;;;;;;;;;;;;;;;;;;;;;
01028;Baneins;225,0;604,5;391,9;;22755,7;;;;;;;;;;;;;;;;;;;;;;;;
01029;Beaupont;254,0;605,0;405,7;;19078,0;;;;;;;;;;;;;;;;;;;;;;;;
01030;Beauregard;367,0;903,0;599,9;;19966,4;;;;;;;;;;;;;;;;;;;;;;;;
01031;Bellignat;1557,0;3580,0;2434,8;13796,7;18799,3;24626,0;10829,3;10230,8;12641,9;14820,7;16790,0;20855,0;23187,5;27086,2;34116,0;3,3;4,1;0,3;68,3;3,3;63,0;2,0;29,4;10,0;7,1;3,0;2,0;2,1;-14,8
01032;Béligneux;1173,0;3298,5;2067,5;16229,4;20451,9;26402,5;10173,1;13189,2;15096,0;17210,4;18777,9;22401,0;25014,0;28551,5;33421,7;2,5;3,0;0,2;81,8;3,6;75,6;2,5;20,7;6,4;5,5;3,6;0,8;1,1;-14,4
01033;Bellegarde-sur-Valserine;4747,0;10898,5;7409,9;13600,7;19490,4;28052,0;14451,3;9867,6;12410,0;14722,0;17022,0;22469,6;25830,0;30875,0;40751,2;4,1;5,0;0,3;75,6;4,5;69,0;2,1;25,5;6,6;5,5;2,2;1,7;1,6;-13,2
01034;Belley;3978,0;8795,5;6062,0;13528,0;18620,5;25031,4;11503,4;10064,7;12492,6;14588,1;16678,8;20530,4;23218,0;26686,7;33054,4;3,3;4,0;0,3;65,3;3,6;57,3;4,4;32,0;11,0;7,1;2,8;2,3;2,0;-15,4
01035;Belleydoux;147,0;326,0;226,8;;22737,6;;;;;;;;;;;;;;;;;;;;;;;;
01036;Belmont-Luthézieu;251,0;566,0;388,5;;21041,3;;;;;;;;;;;;;;;;;;;;;;;;
01037;Bénonces;115,0;275,0;183,9;;19873,0;;;;;;;;;;;;;;;;;;;;;;;;
01038;Bény;310,0;773,5;512,1;;21891,6;;;;;;;;;;;;;;;;;;;;;;;;
01039;Béon;196,0;484,0;322,3;;20162,0;;;;;;;;;;;;;;;;;;;;;;;;
01040;Béréziat;180,0;468,5;304,8;;21560,0;;;;;;;;;;;;;;;;;;;;;;;;
01041;Bettant;321,0;790,0;528,5;;22630,0;;;;;;;;;;;;;;;;;;;;;;;;
01042;Bey;108,0;285,0;187,3;;23302,0;;;;;;;;;;;;;;;;;;;;;;;;
01043;Beynost;1733,0;4583,0;3006,0;19735,0;25880,4;34485,0;14750,0;14630,4;18390,8;21217,6;23381,2;29052,8;32390,0;37338,7;45214,3;3,1;3,6;0,3;78,5;2,6;70,3;5,6;26,4;12,2;2,5;1,6;0,4;0,5;-19,6
01044;Billiat;228,0;584,0;378,9;;25215,3;;;;;;;;;;;;;;;;;;;;;;;;
01045;Birieux;99,0;301,0;185,4;;23168,6;;;;;;;;;;;;;;;;;;;;;;;;
01046;Biziat;328,0;886,0;568,2;;21448,8;;;;;;;;;;;;;;;;;;;;;;;;
01047;Blyes;369,0;1020,0;651,6;;25555,3;;;;;;;;;;;;;;;;;;;;;;;;
01049;La Boisse;1107,0;3027,5;1955,8;19063,5;24862,0;31477,7;12414,2;14879,1;17742,2;20279,6;22566,0;26815,6;29998,0;33194,3;38842,8;2,6;3,1;0,2;80,7;2,4;74,7;3,6;23,2;10,5;2,8;2,1;0,4;0,3;-17,2
01050;Boissey;127,0;342,0;217,1;;19351,0;;;;;;;;;;;;;;;;;;;;;;;;
01052;Bouligneux;126,0;298,0;204,3;;25812,7;;;;;;;;;;;;;;;;;;;;;;;;
01053;Bourg-en-Bresse;18630,0;38004,5;27042,4;13003,3;18165,7;24793,3;11790,0;9583,6;12020,0;14029,2;16119,6;20460,7;23149,0;27044,0;33753,8;3,5;4,4;0,3;64,4;3,4;57,2;3,7;33,2;10,5;7,9;2,6;2,8;2,5;-16,0
01054;Bourg-Saint-Christophe;502,0;1400,5;887,3;;24406,1;;;;;;;;;;;;;;;;;;;;;;;;
01056;Boyeux-Saint-Jérôme;146,0;340,5;230,0;;20848,9;;;;;;;;;;;;;;;;;;;;;;;;
01057;Boz;199,0;506,5;333,6;;20352,4;;;;;;;;;;;;;;;;;;;;;;;;
01058;Brégnier-Cordon;339,0;826,5;550,1;;20417,5;;;;;;;;;;;;;;;;;;;;;;;;
