CODGEO;LIBGEO;NBMEN16;NBPERS16;NBUC16;Q116;Q216;Q316;Q3_Q1;D116;D216;D316;D416;D616;D716;D816;D916;RD;S80S2016;GI16;PACT16;PTSA16;PCHO16;PBEN16;PPEN16;PPAT16;PPSOC16;PPFAM16;PPMINI16;PPLOGT16;PIMPOT16
01001;L'Abergement-Clémenciat;313;796;528,7;;22679;;;;;;;;;;;;;;;;;;;;;;;;
01002;L'Abergement-de-Varey;101;248;164,5;;24382;;;;;;;;;;;;;;;;;;;;;;;;
01004;Ambérieu-en-Bugey;6363;14228;9760,8;14186;19721;26048;11862;10457;13180;15460;17661;21912;24608;28055;33881;3,2;3,920;0,266;73,0;66,0;3,3;3,7;27,0;8,8;6,9;2,8;2,1;2,0;-15,7
01005;Ambérieux-en-Dombes;633;1663;1084,6;;23378;;;;;;;;;;;;;;;;;;;;;;;;
01007;Ambronay;1087;2684;1782,6;17793;22146;27687;9893;13947;16659;18850;20533;24098;26320;29957;34915;2,5;2,970;0,213;75,5;70,5;2,5;2,6;27,2;8,1;4,2;2,4;1,0;0,8;-15,0
01008;Ambutrix;297;736;490,6;;24894;;;;;;;;;;;;;;;;;;;;;;;;
01009;Andert-et-Condon;141;331;227,1;;23088;;;;;;;;;;;;;;;;;;;;;;;;
01010;Anglefort;441;1062;706,7;;22881;;;;;;;;;;;;;;;;;;;;;;;;
01011;Apremont;143;365;239,6;;23246;;;;;;;;;;;;;;;;;;;;;;;;
01012;Aranc;149;329;226,7;;21178;;;;;;;;;;;;;;;;;;;;;;;;
01013;Arandas;65;143;99,6;;18244;;;;;;;;;;;;;;;;;;;;;;;;
01014;Arbent;1314;3447;2261,7;15597;20158;26639;11042;11999;14613;16482;18189;22761;25099;28882;35546;3,0;4,176;0,298;71,1;65,5;3,5;2,1;29,0;13,2;4,7;2,3;1,4;1,1;-18,0
01015;Arboys en Bugey;289;668;458,6;;22357;;;;;;;;;;;;;;;;;;;;;;;;
01016;Arbigny;176;469;301,8;;20406;;;;;;;;;;;;;;;;;;;;;;;;
01017;Argis;198;431;298,7;;18831;;;;;;;;;;;;;;;;;;;;;;;;
01021;Ars-sur-Formans;496;1290;843,9;;23153;;;;;;;;;;;;;;;;;;;;;;;;
01022;Artemare;562;1196;844,7;;19845;;;;;;;;;;;;;;;;;;;;;;;;
01024;Attignat;1263;3254;2133,0;17852;21977;26985;9133;14182;16659;18882;20340;23631;25897;28611;34394;2,4;2,839;0,208;79,5;72,7;2,3;4,5;25,1;7,1;3,9;2,5;0,7;0,7;-15,6
01025;Bâgé-la-Ville;1192;3243;2088,4;17559;22251;27283;9724;13945;16593;18641;20610;23554;25684;28717;34085;2,4;2,975;0,216;79,5;72,9;2,4;4,2;22,9;8,8;3,9;2,7;0,7;0,5;-15,1
01026;Bâgé-le-Châtel;398;885;609,5;;20722;;;;;;;;;;;;;;;;;;;;;;;;
01027;Balan;647;1812;1144,2;;23697;;;;;;;;;;;;;;;;;;;;;;;;
01028;Baneins;225;600;389,1;;22509;;;;;;;;;;;;;;;;;;;;;;;;
01029;Beaupont;256;614;412,2;;19568;;;;;;;;;;;;;;;;;;;;;;;;
01030;Beauregard;363;885;588,4;;21003;;;;;;;;;;;;;;;;;;;;;;;;
01031;Bellignat;1559;3555;2423,5;13753;18916;25055;11302;10217;12646;14847;16992;20935;23392;26961;34473;3,4;4,093;0,280;67,6;62,3;3,3;2,0;29,8;9,8;7,6;3,1;2,3;2,2;-14,8
01032;Béligneux;1167;3261;2052,5;15898;20826;26638;10741;13348;15145;17069;18569;22653;25069;28371;34041;2,6;3,117;0,231;81,3;75,6;3,3;2,4;21,4;6,5;5,5;3,6;0,9;1,0;-14,7
01033;Bellegarde-sur-Valserine;4721;10781;7343,4;13746;19687;28609;14863;10085;12565;14783;17038;22637;25992;31448;41376;4,1;5,206;0,325;75,7;69,1;4,4;2,2;26,1;5,7;5,6;2,1;1,9;1,6;-13,1
01034;Belley;4003;8758;6068,1;13752;18818;24891;11139;10366;12789;14758;16750;20757;23453;26800;32881;3,2;3,851;0,267;65,5;57,9;3,3;4,3;32,4;9,7;7,4;2,7;2,7;2,0;-15,0
01035;Belleydoux;143;319;221,3;;22078;;;;;;;;;;;;;;;;;;;;;;;;
01036;Belmont-Luthézieu;256;579;398,0;;21155;;;;;;;;;;;;;;;;;;;;;;;;
01037;Bénonces;116;272;182,7;;20663;;;;;;;;;;;;;;;;;;;;;;;;
01038;Bény;308;770;512,3;;21909;;;;;;;;;;;;;;;;;;;;;;;;
01039;Béon;199;477;321,2;;20663;;;;;;;;;;;;;;;;;;;;;;;;
01040;Béréziat;181;487;314,1;;20760;;;;;;;;;;;;;;;;;;;;;;;;
01041;Bettant;326;795;532,7;;22408;;;;;;;;;;;;;;;;;;;;;;;;
01042;Bey;113;295;194,2;;24139;;;;;;;;;;;;;;;;;;;;;;;;
01043;Beynost;1774;4673;3062,1;20069;26233;34787;14718;15268;18814;21358;23873;29127;32571;37652;45708;3,0;3,578;0,253;78,7;70,7;2,5;5,5;25,9;12,0;2,7;1,7;0,5;0,5;-19,3
01044;Billiat;224;555;366,6;;25120;;;;;;;;;;;;;;;;;;;;;;;;
01045;Birieux;99;298;184,1;;24398;;;;;;;;;;;;;;;;;;;;;;;;
01046;Biziat;331;874;564,2;;21491;;;;;;;;;;;;;;;;;;;;;;;;
01047;Blyes;373;1034;662,5;;25809;;;;;;;;;;;;;;;;;;;;;;;;
01049;La Boisse;1177;3153;2049,5;19110;24686;31546;12436;14860;17640;20150;22237;26696;29956;33306;39262;2,6;3,114;0,225;80,8;74,6;2,5;3,7;23,6;9,6;3,0;2,0;0,6;0,4;-17,0
01050;Boissey;126;339;215,7;;19862;;;;;;;;;;;;;;;;;;;;;;;;
01052;Bouligneux;130;314;213,7;;25697;;;;;;;;;;;;;;;;;;;;;;;;
01053;Bourg-en-Bresse;18601;38015;27052,5;13168;18249;25017;11849;9790;12186;14187;16163;20673;23411;27005;33774;3,4;4,332;0,290;64,6;57,5;3,4;3,7;33,4;9,5;8,2;2,6;3,0;2,5;-15,7
01054;Bourg-Saint-Christophe;510;1401;892,5;;25382;;;;;;;;;;;;;;;;;;;;;;;;
01056;Boyeux-Saint-Jérôme;144;348;231,8;;20805;;;;;;;;;;;;;;;;;;;;;;;;
01057;Boz;199;502;331,6;;20778;;;;;;;;;;;;;;;;;;;;;;;;
01058;Brégnier-Cordon;337;827;550,6;;20812;;;;;;;;;;;;;;;;;;;;;;;;
01059;Brénaz;43;111;73,4;;20726;;;;;;;;;;;;;;;;;;;;;;;;
01060;Brénod;224;497;346,6;;23066;;;;;;;;;;;;;;;;;;;;;;;;
01061;Brens;435;1196;771,5;;22616;;;;;;;;;;;;;;;;;;;;;;;;
01062;Bressolles;338;917;588,7;;25953;;;;;;;;;;;;;;;;;;;;;;;;
01063;Brion;211;495;338,1;;24311;;;;;;;;;;;;;;;;;;;;;;;;
01064;Briord;412;1010;672,5;;21123;;;;;;;;;;;;;;;;;;;;;;;;
