CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
200000164;CC de Pange;4826;12832;8366,1;18545,0;23888,3;30518,0;11973,0;14000,4;17294,7;19727,6;21777,3;26061,3;28703,3;32565,6;38677,0;2,8;3,3;0,2;68,9;5,0;25,4;13,8;2,9;1,9;0,5;0,5;-16,0
200000172;CC Faucigny-Glières;10425;26338;17330,8;16935,0;22998,7;31986,0;15051,0;12376,1;15628,5;18116,8;20492,2;25944,5;29588,5;34976,7;44465,6;3,6;4,4;0,3;80,5;3,8;18,9;9,1;3,4;2,0;0,7;0,8;-15,7
200000321;CA des 2 Rives de la Seine;34971;95445;61148,1;17478,8;25452,7;35841,2;18362,4;11926,2;15802,1;19143,0;22239,5;29142,2;33379,2;39052,0;49464,0;4,1;5,1;0,3;83,1;4,2;21,0;10,2;3,6;2,1;0,7;0,8;-22,1
200000354;CC de la Louge et du Touch;2092;5362;3531,4;15187,0;20402,9;26045,0;10858,0;11651,0;14066,7;16341,8;18483,0;22417,1;24762,9;27827,5;33995,2;2,9;3,6;0,2;66,3;7,3;25,1;10,9;4,9;2,4;1,6;0,9;-14,5
200000388;CC du Sud Morvan;1394;2677;1978,1;13454,7;18326,0;23811,0;10356,3;9442,0;12516,7;14508,7;16424,2;20083,0;22426,7;25300,5;30351,3;3,2;4,0;0,3;38,8;8,9;49,0;11,7;4,9;1,5;2,3;1,1;-13,3
200000420;CC de la Vôge Vers les Rives de la Moselle;6284;15090;10171,3;15792,5;20018,0;25373,3;9580,8;11668,0;14556,0;16674,0;18486,0;21914,0;24052,0;26949,0;32254,7;2,8;3,3;0,2;66,8;4,2;29,6;9,0;4,7;2,5;1,1;1,1;-14,3
200000438;CC du Pays de Pontchâteau St Gildas des Bois;13549;34126;22359,1;16021,3;19963,8;24367,7;8346,4;12786,5;15087,3;16878,0;18466,4;21475,6;23265,8;25557,9;29504,8;2,3;2,7;0,2;70,6;3,8;26,3;7,0;5,5;3,4;1,1;1,0;-13,2
200000487;CC du Plateau de Lommoye (Ccpl);2353;6491;4187,6;19362,8;24770,7;31370,6;12007,8;15078,2;18254,5;20512,6;22828,6;27002,2;29570,0;33364,6;40116,1;2,7;3,3;0,2;77,7;5,2;24,6;8,1;2,9;2,1;0,5;0,3;-18,5
200000537;CC de la Presqu'île de Rhuys;7173;14280;10459,0;17275,0;23652,0;32859,5;15584,5;12748,0;15991,3;18424,2;20955,3;26788,7;30604,7;35671,3;44170,0;3,5;4,2;0,3;33,5;6,4;57,7;18,7;2,4;0,9;0,8;0,6;-18,7
200000545;CC des Portes de Romilly Sur Seine;8373;18994;12989,1;12689,0;17203,3;22103,0;9414,0;9416,0;11882,5;13604,8;15478,0;19022,0;20929,7;23538,0;28391,3;3,0;3,6;0,3;57,7;3,8;35,2;7,5;9,0;3,3;3,1;2,6;-13,2
200000594;CC Entre Loire et Allier;920;1873;1353,2;;17392,7;;;;;;;;;;;;;;;;;;;;;;
200000610;CC le Minervois;2845;5975;4247,6;11309,6;16078,7;22110,0;10800,4;8185,3;10336,3;12413,0;14126,0;18089,5;20548,4;23808,7;29028,8;3,5;4,5;0,3;43,4;8,4;41,7;12,0;6,9;2,1;2,9;1,9;-12,4
200000628;CC Rhône Lez Provence;10049;24988;16609,1;12950,0;18043,3;24024,5;11074,5;9239,0;11937,0;13982,0;16052,0;20192,7;22559,2;25726,7;31368,0;3,4;4,0;0,3;64,4;3,8;29,9;8,8;7,2;3,0;2,2;2,0;-14,1
200000636;CC Cévenne et Montagne Ardéchoises;310;654;465,6;;16351,2;;;;;;;;;;;;;;;;;;;;;;
200000735;CC de la Viadène;925;1981;1407,8;;18170,5;;;;;;;;;;;;;;;;;;;;;;
200000743;CC du Nebbiu;1582;3426;2416,3;12684,6;18322,5;25144,7;12460,1;8666,0;11591,0;13660,0;15705,0;20630,0;23220,0;27510,7;33756,4;3,9;4,8;0,3;56,6;9,0;36,7;8,5;4,9;1,4;2,3;1,2;-15,7
200000776;CA Argenteuil - Bezons;51474;141645;90145,5;12360,7;17794,0;24808,3;12447,7;8762,6;11301,9;13457,1;15585,2;20175,0;23065,0;26828,9;32992,0;3,8;4,4;0,3;79,3;2,1;20,3;6,1;8,2;3,6;2,2;2,3;-16,0
200000800;CC Coeur de Sologne;4616;10406;7174,8;15714,7;20139,5;25663,2;9948,5;12067,4;14636,5;16692,0;18433,0;22092,2;24277,3;27432,7;33174,0;2,7;3,4;0,2;60,4;4,7;34,2;11,4;4,5;2,2;1,2;1,1;-15,2
200000925;CC de la Plaine Dijonnaise;8400;22029;14375,1;17456,0;21974,0;26994,5;9538,5;13461,3;16429,0;18485,0;20343,3;23641,9;25755,2;28560,7;33520,0;2,5;2,9;0,2;74,3;3,9;25,5;7,6;3,9;2,5;0,8;0,6;-15,2
200000933;CC Sauldre et Sologne;6478;13901;9803,7;14893,0;19271,6;24457,3;9564,3;11082,7;13818,3;15859,2;17539,0;20981,4;23101,3;26339,0;31793,6;2,9;3,5;0,2;53,5;6,6;37,8;11,8;4,7;1,9;1,5;1,2;-14,4
200000974;CC Sources de la Loire;555;1129;814,9;;15057,0;;;;;;;;;;;;;;;;;;;;;;
200001006;CC du Pays d'Eguzon-Val de Creuse;2072;4296;3082,1;14431,0;18689,3;24081,3;9650,4;11126,0;13489,3;15243,0;16872,0;20363,9;22623,3;26239,5;31596,7;2,8;3,7;0,3;47,3;6,0;45,7;10,2;3,9;1,5;1,4;1,0;-13,1
200001105;CC du Canton de Salies-Du-Salat;3809;8096;5740,9;14903,3;19621,0;25571,5;10668,2;10940,7;13753,9;15853,0;17743,8;21742,5;24101,0;27511,3;32849,3;3,0;3,6;0,2;52,9;5,8;38,8;11,4;4,7;1,7;1,8;1,3;-13,6
200001170;CC Aubrac-Lot-Causse;1967;4431;3051,0;15064,0;18813,8;23865,0;8801,0;11545,0;14051,2;15810,3;17252,8;20390,8;22371,0;25458,0;30582,5;2,6;3,3;0,2;55,3;8,9;33,8;10,8;5,0;2,5;1,3;1,2;-13,8
200004802;CC du Pays de Fayence;11418;27624;18645,2;14890,0;20949,3;28861,7;13971,7;10294,0;13546,1;16165,7;18480,4;23470,4;26752,3;31309,2;38805,0;3,8;4,8;0,3;57,9;7,1;34,7;14,1;3,7;1,8;1,0;0,8;-17,5
200005130;CC du Pays de Trie;1489;3299;2316,3;13266,7;18027,0;23609,5;10342,8;10168,0;12332,0;14205,0;16114,0;20135,3;22158,9;25154,0;31472,4;3,1;3,9;0,3;46,6;8,1;41,5;12,2;4,9;1,7;2,1;1,2;-13,3
200005932;CC du Canton de la Ferté-Saint-Aubin;5701;13969;9349,8;17534,0;22795,3;29846,7;12312,7;13303,3;16390,0;18761,6;20739,6;25010,8;28023,5;32140,7;40078,7;3,0;3,8;0,3;68,4;5,0;29,7;12,2;3,2;1,9;0,5;0,7;-18,5
