CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PCHO15;PTSA15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15
200000164;CC de Pange;4888,0;12840,0;8416,3;18720,5;23836,7;30777,2;12056,7;14231,0;17488,7;19798,1;21793,8;26050,6;29084,3;32643,3;38616,0;2,7;3,2;0,2;74,6;2,5;67,4;4,8;25,9;12,6;2,7;1,8;0,5;0,4;-15,8
200000172;CC Faucigny-Glières;10600,0;26595,0;17551,4;17354,6;23622,0;32736,0;15381,4;12722,4;15986,0;18738,0;21098,8;26463,3;30375,3;35963,0;46250,1;3,6;4,4;0,3;84,5;3,4;77,5;3,6;18,7;9,2;3,2;1,8;0,7;0,8;-15,6
200000354;CC de la Louge et du Touch;2122,0;5401,0;3563,5;15164,8;19971,9;25504,0;10339,2;11350,4;13967,0;16162,5;18234,0;21980,7;24390,0;27320,0;33989,3;3,0;3,6;0,3;74,5;3,6;64,7;6,2;25,9;9,2;4,9;2,5;1,5;1,0;-14,5
200000388;CC du Sud Morvan;1390,0;2700,0;1985,5;13676,7;18174,0;23824,2;10147,5;9482,5;12682,0;14550,0;16541,7;20140,5;22448,7;25550,7;30471,0;3,2;4,0;0,3;47,6;2,0;36,6;9,1;48,9;11,7;5,1;1,5;2,5;1,1;-13,3
200000420;CC de la Vôge vers les Rives de la Moselle;6307,0;15145,5;10203,0;15698,0;20171,3;25100,4;9402,4;11736,0;14609,0;16619,0;18455,0;21926,5;23830,0;26726,7;31731,6;2,7;3,1;0,2;71,2;3,6;63,8;3,8;30,6;7,3;4,8;2,4;1,2;1,1;-13,9
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;13753,0;34440,0;22622,8;16046,3;20150,7;24545,2;8498,9;12726,9;15103,8;16874,5;18565,0;21711,0;23465,8;25795,2;29766,2;2,3;2,7;0,2;74,4;3,6;67,2;3,6;26,7;6,8;5,4;3,2;1,1;1,0;-13,3
200000487;CC du Plateau de Lommoye (Ccpl);2354,0;6467,5;4185,1;19773,9;25396,1;31673,5;11899,6;15423,3;18649,5;21020,0;23374,8;27543,3;30238,4;33875,4;40175,3;2,6;3,2;0,2;82,7;2,9;74,4;5,4;25,0;7,7;2,8;1,9;0,5;0,3;-18,2
200000537;CC de la Presqu'île de Rhuys;7244,0;14377,5;10548,9;17484,5;23546,0;32022,0;14537,5;12899,3;16159,3;18706,7;21088,1;26359,8;29992,5;34668,7;42267,0;3,3;4,0;0,3;40,3;2,7;31,2;6,4;60,4;15,5;2,4;0,9;0,8;0,6;-18,6
200000545;CC des Portes de Romilly Sur Seine;8356,0;18894,5;12928,6;12781,6;17296,5;22296,0;9514,4;9403,0;11753,3;13649,6;15465,9;19164,0;21174,8;23694,0;28398,0;3,0;3,7;0,3;60,7;4,2;52,9;3,6;35,7;7,4;9,3;3,3;3,3;2,6;-13,1
200000594;CC Entre Loire et Allier;919,0;1872,0;1353,3;;17907,0;;;;;;;;;;;;;;;;;;;;;;;;
200000610;CC le Minervois;2849,0;5910,5;4224,8;11896,1;16497,5;22429,0;10532,9;8314,3;10676,5;12878,0;14547,5;18732,0;21051,0;24150,0;29625,0;3,6;4,4;0,3;50,5;4,2;38,2;8,1;42,4;13,1;6,7;1,9;2,9;1,9;-12,7
200000628;CC Rhône Lez Provence;10047,0;24824,5;16541,2;13135,2;18402,7;24400,7;11265,4;9472,7;12018,3;14221,7;16318,0;20519,0;22885,6;26070,0;31560,6;3,3;4,0;0,3;67,9;4,0;60,0;3,9;30,2;8,6;7,2;3,0;2,3;2,0;-13,9
200000636;CC Cévenne et Montagne Ardéchoises;312,0;640,5;461,7;;17239,3;;;;;;;;;;;;;;;;;;;;;;;;
200000735;CC de la Viadène;933,0;1978,0;1408,0;;18633,3;;;;;;;;;;;;;;;;;;;;;;;;
200000743;CC du Nebbiu;1569,0;3354,0;2379,3;13193,9;18666,0;25785,3;12591,5;9370,4;12091,5;14235,6;16632,0;20907,3;23420,5;28186,7;33849,5;3,6;4,6;0,3;64,5;3,0;50,8;10,8;37,4;8,9;4,6;1,4;2,2;1,1;-15,4
200000800;CC Coeur de Sologne;4601,0;10293,5;7117,7;15691,5;20394,0;25699,0;10007,5;11750,0;14482,0;16605,7;18465,0;22280,5;24352,9;27186,8;32722,8;2,8;3,5;0,2;65,1;3,3;57,4;4,4;35,1;10,7;4,3;2,1;1,2;1,0;-15,2
200000925;CC de la Plaine Dijonnaise;8376,0;21919,0;14322,9;17744,5;22164,2;27081,1;9336,6;13684,7;16537,0;18794,8;20555,7;23817,3;25823,3;28654,8;33670,0;2,5;2,9;0,2;78,4;2,7;72,1;3,6;26,1;6,8;3,8;2,4;0,8;0,6;-15,1
200000933;CC Sauldre et Sologne;6488,0;13816,5;9774,9;15153,3;19586,7;24541,1;9387,8;11426,0;14065,3;16154,0;17841,0;21252,0;23207,0;26352,0;31944,0;2,8;3,4;0,2;59,8;3,0;50,6;6,2;38,4;11,5;4,8;1,8;1,6;1,3;-14,5
200000974;CC Sources de la Loire;567,0;1143,0;829,3;;15730,8;;;;;;;;;;;;;;;;;;;;;;;;
200001006;CC du Pays d'Eguzon-Val de Creuse;2059,0;4251,5;3053,0;14268,3;18669,0;24060,0;9791,7;10997,6;13302,0;14924,0;16753,8;20489,6;22504,0;25848,0;31096,0;2,8;3,5;0,2;52,7;2,9;43,5;6,3;47,0;9,2;4,3;1,7;1,6;1,0;-13,2
200001105;CC de Salies-Du-Salat;3853,0;8176,5;5801,7;14727,0;19738,1;25324,5;10597,5;10672,0;13671,0;15835,0;17661,5;21713,0;23906,0;27128,0;32453,3;3,0;3,5;0,2;59,7;2,9;51,1;5,7;39,2;9,5;5,0;1,7;1,9;1,4;-13,4
200001170;CC Aubrac-Lot-Causse;1959,0;4379,0;3026,6;15129,2;19286,0;24289,3;9160,1;11324,5;14023,1;15934,0;17605,0;20845,2;22758,8;25980,0;31526,0;2,8;3,4;0,2;63,0;2,6;51,4;9,1;34,2;11,6;4,8;2,4;1,3;1,1;-13,6
200004802;CC du Pays de Fayence;11548,0;27919,5;18848,9;15070,0;21335,3;29128,7;14058,7;10421,6;13759,0;16438,6;18834,7;24053,3;27131,4;31468,7;38911,3;3,7;4,7;0,3;65,5;3,4;54,7;7,3;34,4;14,2;3,6;1,7;1,1;0,8;-17,7
200005130;CC du Pays de Trie;1436,0;3113,5;2204,1;13856,0;18444,8;24049,0;10193,0;9929,0;12653,9;14839,1;16615,2;20282,8;22501,3;25581,3;31182,1;3,1;3,8;0,3;53,9;2,4;44,9;6,6;43,7;10,6;5,1;1,6;2,2;1,3;-13,3
200005932;CC des Portes de Sologne;5761,0;13985,5;9389,0;17521,6;22617,7;29683,9;12162,3;13355,0;16367,3;18723,2;20615,7;24855,5;27666,7;31805,3;39182,5;2,9;3,8;0,3;73,3;2,2;66,4;4,7;30,4;11,5;3,2;1,9;0,6;0,7;-18,4
200005957;CC de la Région de Rambervillers;5318,0;12573,5;8518,7;13274,8;17956,7;23067,7;9792,9;9720,8;12218,4;14312,0;16220,0;19854,7;21852,0;24682,9;29920,0;3,1;3,7;0,3;65,3;3,8;56,2;5,3;31,7;8,9;7,4;3,2;2,4;1,8;-13,3
200006047;CC du Sud Dijonnais;1987,0;5402,0;3489,8;19260,5;23665,7;28782,6;9522,1;15041,4;18108,3;20067,5;21947,0;25746,1;27547,2;30397,3;35238,0;2,3;2,8;0,2;82,1;2,4;75,2;4,5;23,7;7,7;2,7;2,0;0,3;0,3;-16,2
200006070;CC Villeneuvois, Diège et Lot;2463,0;5575,5;3858,6;14850,0;19874,0;25973,3;11123,3;11037,2;13762,5;15736,9;17724,0;21982,8;24353,3;27878,0;33410,6;3,0;3,7;0,3;60,5;2,4;48,4;9,7;36,7;12,6;4,1;1,9;1,2;1,0;-13,9
200006393;CC du Val de Vôge;2008,0;4357,5;3055,6;12714,0;17098,0;22088,7;9374,7;9076,0;11601,3;13656,7;15523,3;18742,4;20980,7;23860,0;28645,5;3,2;3,8;0,3;56,0;4,1;44,3;7,5;40,9;8,8;6,6;2,6;2,3;1,6;-12,3
200006427;CC Sère - Garonne - Gimone;2718,0;6636,5;4450,6;14252,7;18584,8;23488,1;9235,4;10805,9;13327,9;15148,6;16924,7;20301,3;22435,0;24650,0;30230,0;2,8;3,4;0,2;65,4;3,7;55,9;5,9;31,0;10,5;6,0;2,7;1,9;1,3;-12,9
200006435;CC des Terrasses et Plaines des Deux Cantons;3145,0;8368,5;5408,4;14749,5;18909,3;23628,0;8878,5;10844,0;13642,4;15494,7;17306,7;20641,1;22365,7;24788,7;28740,7;2,7;3,2;0,2;70,7;4,1;62,9;3,7;27,1;7,6;6,8;3,5;1,9;1,4;-12,2
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;22635,0;51198,0;35332,4;16163,3;21297,5;27985,8;11822,4;12051,0;14976,0;17312,0;19370,0;23550,0;26203,3;30352,0;38592,4;3,2;4,1;0,3;71,6;2,6;59,7;9,3;28,2;14,4;3,9;1,8;1,1;1,0;-18,1
200006716;CC du Nogentais;6816,0;16174,0;10878,0;14960,7;20017,3;25914,3;10953,6;11184,4;13791,3;16033,5;17986,0;22006,0;24446,7;27706,0;34608,9;3,1;3,8;0,3;73,0;3,1;63,8;6,1;27,2;9,9;5,7;2,7;1,5;1,5;-15,8
200006765;CC des Terres d'Apcher;2596,0;5695,0;3986,4;14746,3;19025,3;24212,0;9465,8;11041,3;13733,3;15521,9;17215,6;20812,6;23020,4;25820,0;30574,7;2,8;3,4;0,2;58,9;2,2;48,4;8,2;38,9;10,8;4,6;2,0;1,6;1,0;-13,2
200006781;CC Entre 2 Lacs;1419,0;2911,5;2092,3;13457,0;17968,0;23135,0;9678,0;9736,8;12369,0;14195,6;16061,0;19822,4;21864,0;24538,0;30599,3;3,1;4,1;0,3;54,2;3,0;40,7;10,5;39,2;15,1;4,9;1,7;2,0;1,3;-13,4
200006872;CC Champagnole Porte du Haut-Jura;8352,0;18346,0;12813,8;15698,7;20234,0;26182,8;10484,1;12057,0;14662,0;16623,8;18470,0;22269,3;24628,4;27862,4;33946,0;2,8;3,4;0,2;68,2;3,0;60,0;5,1;33,9;8,1;4,2;2,0;1,1;1,1;-14,4
200006930;CC du Haut-Allier;1947,0;4065,0;2890,1;14243,4;18685,0;23800,8;9557,3;10503,0;13199,5;15061,0;16959,1;20583,5;22420,7;25370,0;30811,2;2,9;3,6;0,2;60,5;2,3;51,5;6,8;36,1;11,4;5,5;2,1;1,9;1,5;-13,5
200006971;CC du Perche;7856,0;16718,0;11810,9;15051,5;19906,0;25126,1;10074,5;10942,0;13908,2;16127,7;18108,3;21699,0;23845,0;26674,0;32219,3;2,9;3,7;0,3;60,0;2,9;51,0;6,0;39,2;11,1;5,1;2,0;1,7;1,4;-15,4
200007052;CC de la Marche Berrichonne;2759,0;5449,5;3993,1;13444,0;17241,9;22395,3;8951,3;9997,0;12680,7;14289,0;15618,3;18956,0;21242,9;23843,5;28788,5;2,9;3,5;0,2;50,0;2,2;38,7;9,1;47,0;10,6;4,5;1,5;2,0;1,0;-12,1
200007128;CC Errobi;12181,0;28700,5;19511,1;16900,0;21816,4;28266,7;11366,7;12844,0;15735,0;17896,1;19779,3;23889,5;26650,0;30451,9;38076,0;3,0;3,7;0,3;70,1;2,9;60,7;6,4;29,3;13,9;3,8;1,8;1,1;0,9;-17,1
200007177;CC Pays de Nérondes;2123,0;4751,5;3283,3;13931,0;18406,0;23596,7;9665,7;10595,3;13086,8;14948,0;16736,9;20320,7;22316,0;24723,3;29110,0;2,7;3,3;0,2;60,5;3,4;50,1;7,0;36,9;8,8;6,6;2,5;2,5;1,6;-12,8
200007425;CC du Canton de Tournay;2631,0;6189,0;4207,8;15566,0;20394,4;25672,5;10106,5;11777,8;14519,6;16735,3;18757,0;22224,7;24315,4;27126,7;31862,0;2,7;3,2;0,2;69,1;2,7;60,8;5,5;34,0;6,9;4,1;2,1;1,2;0,8;-14,1
200007433;CC du Canton de Saint-Laurent-De-Neste;1840,0;4017,5;2819,8;15150,0;20009,5;25266,7;10116,7;11444,0;14177,5;16151,3;18117,7;21764,0;23840,7;26959,8;32666,7;2,9;3,4;0,2;60,4;2,9;51,0;6,4;41,2;8,2;3,9;1,6;1,4;0,8;-13,7
200009611;CC des Portes du Comminges;1993,0;4321,0;3050,9;13067,0;17956,0;23418,0;10351,0;9315,0;11988,0;14004,7;15885,0;19774,0;22144,7;24951,5;30945,3;3,3;4,2;0,3;53,3;2,9;43,9;6,5;40,8;13,2;5,6;2,0;2,3;1,3;-12,9
200010650;CA du Grand Dole;23319,0;52171,5;36014,9;15304,0;20350,7;25994,7;10690,7;11345,2;14077,6;16402,9;18499,0;22284,4;24574,0;27728,5;33544,3;3,0;3,6;0,3;67,0;2,8;59,5;4,8;33,9;8,5;5,8;2,3;1,9;1,5;-15,2
200010700;CA Caux Vallée de Seine;27857,0;68722,0;45737,4;15389,0;20343,3;26027,5;10638,5;11657,3;14249,1;16475,0;18514,4;22288,9;24607,0;27758,0;33364,0;2,9;3,4;0,2;73,7;3,4;66,8;3,5;28,1;6,6;5,9;2,7;1,7;1,4;-14,3
200011286;CC de l'Aubrac Lozérien;442,0;900,5;649,9;;16970,5;;;;;;;;;;;;;;;;;;;;;;;;
200011625;CC du Pays Boulageois;5629,0;14483,0;9490,2;15788,5;20794,3;26249,0;10460,5;12068,7;14774,0;16765,2;19091,4;22665,5;24911,0;27763,3;33008,1;2,7;3,2;0,2;74,8;3,6;66,7;4,5;24,0;9,2;5,2;2,6;1,5;1,1;-13,2
200011773;CA Annemasse-Les Voirons-Agglomération;36442,0;81110,0;55631,9;15542,5;25396,0;41248,6;25706,1;10011,0;13824,3;17441,0;21198,0;30504,2;37170,0;46047,4;60637,8;6,1;7,5;0,4;83,5;3,7;76,7;3,0;19,1;8,6;3,1;1,1;1,0;1,0;-14,3
200011781;CC Portes du Berry Entre Loire et Val d'Aubois;4483,0;9934,0;6899,0;15040,7;19345,7;24100,0;9059,3;11061,1;13963,4;16044,0;17775,4;20929,0;22882,5;25592,0;30377,0;2,7;3,2;0,2;64,0;3,3;55,5;5,1;36,6;7,8;5,2;2,2;1,9;1,1;-13,6
200011799;CC de la Vallée de la Barousse;1247,0;2489,5;1804,4;14437,8;19120,0;24531,3;10093,6;10207,7;13283,3;15380,7;17360,4;21019,0;23236,7;25892,4;31198,7;3,1;3,7;0,3;52,9;2,7;42,9;7,3;45,5;9,9;5,2;1,6;2,3;1,3;-13,5
200011997;CC Authie-Maye;7455,0;17037,0;11723,0;13783,3;18358,0;23999,5;10216,2;10243,1;12710,0;14656,1;16538,0;20250,0;22648,0;25908,0;32631,0;3,2;3,9;0,3;59,7;3,1;46,4;10,2;37,2;12,3;5,6;2,2;2,1;1,3;-14,8
200012003;CC des 2 Sources;5205,0;13187,5;8706,3;14327,1;18815,0;23925,0;9597,9;10947,0;13390,0;15203,0;17016,2;20715,3;22631,0;25501,0;30536,0;2,8;3,4;0,2;69,7;2,8;58,7;8,2;27,4;11,4;5,7;3,0;1,5;1,1;-14,2
200012037;CC de l'Isle Crémieu;11365,0;30433,0;19704,3;17869,0;22958,3;29179,6;11310,6;13762,0;16728,0;18965,4;20955,0;25024,7;27529,0;31050,7;37135,7;2,7;3,3;0,2;80,1;3,0;73,0;4,2;22,8;9,6;3,5;2,3;0,6;0,6;-16,0
