CODGEO;LIBGEO;NBMEN16;NBPERS16;NBUC16;Q116;Q216;Q316;Q3_Q1;D116;D216;D316;D416;D616;D716;D816;D916;RD;S80S2016;GI16;PACT16;PTSA16;PCHO16;PBEN16;PPEN16;PPAT16;PPSOC16;PPFAM16;PPMINI16;PPLOGT16;PIMPOT16
200000172;CC Faucigny-Glières;10685;26600;17621,9;17704;24176;33897;16193;12976;16295;18972;21415;27182;31233;37366;48292;3,7;4,502;0,298;85,0;78,1;3,4;3,5;18,7;8,7;3,2;1,7;0,8;0,7;-15,6
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;13836;34692;22808,9;16435;20435;24896;8461;13055;15431;17372;18928;22050;23836;26169;29934;2,3;2,672;0,193;75,0;68,3;3,3;3,4;26,6;6,2;5,4;3,1;1,3;1,0;-13,2
200000545;CC des Portes de Romilly-sur-Seine;8318;18744;12851,7;12765;17258;22347;9582;9593;11689;13601;15226;19184;21235;23708;28251;2,9;3,599;0,251;60,7;53,0;4,3;3,5;36,1;6,8;9,6;3,3;3,7;2,6;-13,2
200000628;CC Rhône Lez Provence;10117;24734;16543,6;13521;18632;24489;10968;9860;12451;14565;16659;20788;23155;26415;31843;3,2;3,807;0,258;67,4;59,6;4,1;3,7;30,8;8,2;7,4;2,9;2,6;1,9;-13,8
200000800;CC Coeur de Sologne;4589;10153;7063,0;15833;20668;25950;10117;12016;14664;16766;18712;22409;24531;27950;33566;2,8;3,477;0,247;64,4;56,9;3,1;4,4;35,7;10,2;4,5;2,0;1,5;1,0;-14,8
200000925;CC de la Plaine Dijonnaise;8414;21815;14330,8;17844;22346;27094;9250;13938;16703;18829;20616;24024;25907;28632;33279;2,4;2,797;0,201;78,1;72,4;2,5;3,3;27,0;6,3;3,9;2,3;0,9;0,6;-15,3
200000933;CC Sauldre et Sologne;6487;13620;9692,1;15178;19707;24826;9648;11500;14153;16168;17935;21475;23519;26611;31901;2,8;3,430;0,242;59,5;50,8;2,9;5,8;39,2;10,6;5,0;1,8;2,0;1,3;-14,3
200004802;CC du Pays de Fayence;11780;28136;19086,8;15266;21652;29271;14004;10648;13868;16585;19077;24307;27324;31481;38715;3,6;4,539;0,289;66,4;55,8;3,3;7,3;34,6;13,0;3,8;1,7;1,3;0,8;-17,8
200005932;CC des Portes de Sologne;6364;15303;10310,9;17970;23375;30197;12227;13827;16718;19073;21137;25644;28399;32168;39778;2,9;3,676;0,262;73,7;67,1;2,3;4,3;30,8;10,5;3,2;1,8;0,7;0,7;-18,2
200005957;CC de la Région de Rambervillers;5315;12509;8490,8;13671;18409;23719;10048;9990;12616;14756;16674;20372;22401;25201;30401;3,0;3,640;0,252;65,2;56,1;3,6;5,5;32,0;8,5;7,5;3,1;2,6;1,8;-13,2
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;22761;51099;35368,9;16467;21622;28273;11806;12573;15295;17539;19611;23815;26477;30592;38925;3,1;4,031;0,281;72,0;60,0;2,6;9,5;28,7;13,4;4,0;1,7;1,3;1,0;-18,1
200006716;CC du Nogentais;6783;15953;10781,6;14905;20044;26007;11103;11258;13868;15987;18120;22135;24513;27753;34221;3,0;3,709;0,260;72,3;63,5;3,2;5,7;27,9;9,5;5,9;2,7;1,7;1,5;-15,6
200006930;CC du Haut-Allier;2247;4633;3316,9;14344;18902;23945;9600;10859;13167;15251;17139;20765;22795;25587;30877;2,8;3,573;0,250;60,5;50,1;2,2;8,2;36,6;10,4;5,4;2,0;2,0;1,4;-12,9
200006971;CC du Perche;8166;17239;12225,8;15211;20029;25266;10055;11250;14028;16282;18203;21918;23929;26767;32274;2,9;3,592;0,250;59,3;51,1;2,9;5,2;40,5;10,1;5,2;2,0;1,9;1,4;-15,1
200007052;CC de la Marche Berrichonne;2754;5386;3965,1;13510;17503;22519;9009;10347;12659;14337;15897;19331;21547;23979;28708;2,8;3,458;0,243;49,5;38,3;2,4;8,8;47,6;10,0;4,8;1,4;2,3;1,0;-11,9
200007177;CC Pays de Nérondes;2145;4731;3290,4;14092;18584;23390;9298;10191;12937;15038;16961;20243;22188;24681;29652;2,9;3,436;0,237;59,4;50,9;3,2;5,2;38,4;8,4;6,6;2,3;2,7;1,6;-12,8
200010650;CA du Grand Dole;24116;53683;37166,0;15502;20507;26149;10647;11562;14274;16597;18626;22538;24847;27886;33644;2,9;3,530;0,247;67,1;59,9;2,7;4,5;34,2;7,9;5,9;2,3;2,1;1,5;-15,1
200010700;CA Caux Vallée de Seine;31041;76416;50943,8;15565;20466;26156;10590;11879;14440;16639;18619;22487;24752;27815;33163;2,8;3,269;0,233;73,5;66,5;3,3;3,7;28,3;6,4;6,0;2,7;1,9;1,4;-14,2
200011773;CA Annemasse-les Voirons;36104;79739;54848,1;15576;25607;42546;26970;10087;13744;17435;21203;31077;38109;47819;63680;6,3;7,859;0,389;84,2;77,3;3,8;3,1;19,0;8,2;3,1;1,1;1,1;1,0;-14,5
200011781;CC Portes du Berry entre Loire et Val d'Aubois;4461;9777;6823,8;15209;19615;24361;9152;11595;14243;16110;17991;21244;23299;25648;30482;2,6;3,134;0,222;63,7;55,6;3,4;4,7;37,0;7,4;5,3;2,1;2,1;1,1;-13,4
200012060;CC Petite Montagne;2784;6161;4287,3;15519;19879;25245;9726;11882;14649;16504;18219;21537;23812;26697;30982;2,6;3,110;0,222;66,9;56,9;3,3;6,7;34,5;7,5;4,6;2,2;1,5;1,0;-13,5
200013050;CC Sauer-Pechelbronn;6976;17280;11606,2;17849;22604;28483;10634;14045;16680;18914;20825;24625;27014;30331;35705;2,5;3,049;0,220;76,2;69,5;2,6;4,1;28,8;7,2;3,1;1,8;0,8;0,5;-15,3
200015162;CC de l'Oriente;2222;4830;3401,4;11568;16786;24433;12865;8529;10481;12511;14585;19642;22426;26232;33741;4,0;5,077;0,320;60,4;46,6;3,0;10,8;36,2;9,7;7,8;1,7;4,2;1,9;-14,1
200016905;CC du Pays de Lamastre;2951;6294;4458,3;13405;17522;22704;9299;10020;12560;14272;15862;19398;21269;24022;29003;2,9;3,635;0,253;55,9;44,8;3,4;7,7;38,6;10,9;6,5;2,2;2,7;1,6;-11,9
200017341;CC Lodévois et Larzac;6570;14476;10071,6;12433;17365;23050;10617;8920;11339;13530;15412;19360;21593;24784;30470;3,4;4,106;0,272;59,6;48,6;3,9;7,1;35,7;9,1;9,0;2,7;3,8;2,5;-13,4
200017846;CA Étampois Sud-Essonne;21352;53791;35478,0;15938;21422;27715;11777;11555;14673;17131;19320;23727;26214;29584;35507;3,1;3,674;0,251;78,5;71,9;2,9;3,7;25,0;8,4;5,3;2,6;1,5;1,1;-17,2
200018083;CC de Desvres-Samer;8677;22678;14803,8;14526;19221;24392;9866;11004;13539;15509;17389;21006;23111;25849;30622;2,8;3,277;0,232;73,1;63,7;3,3;6,1;25,7;8,0;6,9;3,2;2,3;1,5;-13,7
200018166;CC Le Grésivaudan;40697;102734;68102,1;19284;25354;33126;13843;14601;17949;20543;22938;28034;31204;35599;43742;3,0;3,694;0,260;79,4;71,7;2,6;5,1;25,1;11,4;2,9;1,6;0,7;0,6;-18,8
200018406;CC du Romorantinais et du Monestois;14791;32582;22720,4;14838;19657;24984;10146;10736;13683;15878;17844;21543;23760;26660;32315;3,0;3,595;0,247;61,0;53,9;3,3;3,7;38,9;8,4;6,0;2,2;2,3;1,6;-14,3
200018521;CC du Val de Bouzanne;2738;5905;4148,0;14516;18982;24019;9503;11049;13704;15407;17296;20685;22719;25346;30297;2,7;3,350;0,238;63,1;53,0;3,0;7,1;36,4;8,4;5,0;2,1;1,9;1,1;-12,9
200022986;CC du Grand Pic Saint-Loup;18812;48361;32035,8;18982;25255;33779;14797;13913;17540;20233;22663;28071;31559;36599;45297;3,3;4,074;0,277;76,5;64,6;2,7;9,2;28,6;11,9;2,9;1,4;0,9;0,6;-19,9
200023075;CC du Pays de Maîche;8009;18496;12579,5;18661;26452;36267;17607;13810;17214;20243;23106;30011;34008;39164;46679;3,4;3,946;0,267;89,2;81,2;3,9;4,1;20,0;5,8;2,7;1,3;0,9;0,5;-17,7
200023125;CC Les Portes Briardes entre Villes et Forêts;17149;45386;29650,9;18540;24910;32972;14432;13274;16980;19978;22424;27701;30992;35375;42784;3,2;3,935;0,266;83,2;76,2;2,8;4,2;24,9;8,6;3,4;1,8;0,9;0,7;-20,1
