CODGEO;LIBGEO;NBMEN17;NBPERS17;NBUC17;Q117;Q217;Q317;Q3_Q1;D117;D217;D317;D417;D617;D717;D817;D917;RD;S80S2017;GI17;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200000172;CC Faucigny-Glières;10680;26361;17521,2;18170;24750;34020;15850;13430;16840;19580;22120;27600;31520;37280;47870;3,6;4,316;0,290;85,1;78,1;3,4;3,6;19,2;8,5;3,0;1,6;0,8;0,6;-15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;13997;34905;22991,1;16740;20850;25300;8570;13250;15720;17620;19250;22400;24240;26540;30410;2,3;2,645;0,191;75,2;68,5;3,3;3,4;26,8;5,9;5,3;3,1;1,3;0,9;-13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200000545;CC des Portes de Romilly-sur-Seine;8365;18731;12863,6;12820;17430;22600;9770;9560;11830;13660;15480;19370;21510;24060;28440;3,0;3,583;0,250;59,9;52,5;4,3;3,1;36,4;6,9;9,9;3,5;3,8;2,6;-13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200000628;CC Rhône Lez Provence;10169;24737;16577,2;13740;18830;24960;11220;10060;12680;14840;16920;21080;23560;26600;31770;3,2;3,779;0,256;67,3;59,7;3,9;3,7;30,9;7,8;7,6;3,0;2,8;1,9;-13,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200000800;CC Coeur de Sologne;4630;10203;7109,4;16200;20830;26190;9990;12530;15150;17120;18930;22620;24750;28190;33790;2,7;3,318;0,240;64,5;56,7;3,0;4,8;36,2;9,4;4,7;2,1;1,6;1,0;-14,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200000925;CC de la Plaine Dijonnaise;8479;21850;14379,8;18290;22700;27620;9320;14410;17190;19240;21000;24430;26340;29130;33650;2,3;2,754;0,199;78,2;72,4;2,3;3,5;26,9;6,1;3,8;2,3;1,0;0,6;-15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200000933;CC Sauldre et Sologne;6473;13501;9620,4;15590;20010;25340;9750;11720;14400;16550;18300;21830;24000;26970;32500;2,8;3,489;0,247;59,4;50,9;2,8;5,8;38,8;11,1;4,9;1,8;1,9;1,2;-14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200004802;CC du Pays de Fayence;11831;28184;19131,4;15750;22040;29710;13960;10980;14320;17110;19590;24750;27840;32060;39170;3,6;4,431;0,286;66,8;56,0;3,5;7,3;33,9;13,0;3,8;1,7;1,3;0,7;-17,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200005932;CC des Portes de Sologne;6408;15414;10387,0;18250;23620;30600;12350;13970;17090;19300;21540;26100;28900;32620;40300;2,9;3,620;0,259;74,0;67,6;2,2;4,2;31,0;10,0;3,2;1,8;0,7;0,6;-18,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200005957;CC de la Région de Rambervillers;5312;12446;8461,7;13870;18590;24070;10210;10220;12930;14900;16810;20620;22880;25570;30440;3,0;3,527;0,246;64,4;55,7;3,8;4,9;32,4;8,5;7,7;3,1;2,8;1,8;-13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;22846;50917;35322,1;16800;21970;28660;11860;12700;15630;17880;19980;24190;26900;30870;39460;3,1;4,000;0,280;72,0;60,1;2,6;9,2;28,9;13,2;3,9;1,7;1,3;0,9;-18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200006716;CC du Nogentais;6803;15937;10786,1;15090;20250;26340;11250;11380;14010;16180;18260;22480;24930;28120;34640;3,0;3,664;0,256;71,9;64,0;3,0;4,9;28,7;8,7;6,0;2,7;1,8;1,4;-15,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200006930;CC du Haut-Allier;2257;4633;3325,4;14420;19110;24250;9830;10740;13370;15410;17100;20970;22970;26040;31420;2,9;3,504;0,242;59,4;50,1;2,6;6,8;37,8;10,3;5,4;1,9;2,2;1,3;-12,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200006971;CC du Perche;8214;17233;12244,0;15150;20130;25480;10330;11290;14020;16250;18250;21990;24180;27020;32560;2,9;3,577;0,250;59,0;50,0;3,0;6,0;40,5;9,7;5,5;2,1;2,0;1,4;-14,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200007052;CC de la Marche Berrichonne;2736;5312;3922,8;13980;18040;22870;8890;10840;13020;14780;16380;20050;21890;24310;29510;2,7;3,356;0,238;50,0;39,1;2,3;8,5;47,2;10,0;4,6;1,4;2,3;0,9;-11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
