IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6014;DISP_Q114;DISP_MED14;DISP_Q314;DISP_EQ14;DISP_D114;DISP_D214;DISP_D314;DISP_D414;DISP_D614;DISP_D714;DISP_D814;DISP_D914;DISP_RD14;DISP_S80S2014;DISP_GI14;DISP_PTSAC14;DISP_PBEN14;DISP_PPEN14;DISP_PPAT14;DISP_PPSOC14;DISP_PPFAM14;DISP_PPMINI14;DISP_PPLOGT14;DISP_PIMPOT14;note
010040101;Les Perouses-Triangle d'Activite;01004;Ambérieu-en-Bugey;22,0;12736,5;18213,3;24129,0;0,6;9701,5;11962,3;13967,1;16132,0;20471,3;23040,9;25761,9;29940,0;3,1;3,5;0,2;66,2;1,9;29,4;8,4;8,1;3,1;2,8;2,2;-14,0;0
010040102;Longeray-Gare;01004;Ambérieu-en-Bugey;23,8;12383,4;16777,8;22245,7;0,6;9577,9;11604,0;13398,6;15045,0;18738,0;21032,2;23777,0;28590,0;3,0;3,5;0,2;65,9;1,6;27,5;7,9;10,1;3,5;3,3;3,3;-13,0;0
010040201;Centre-St Germain-Vareilles;01004;Ambérieu-en-Bugey;15,9;13842,0;19140,7;24640,4;0,6;10518,0;12862,4;14997,5;16797,9;21025,6;23357,0;26452,0;31531,3;3,0;3,7;0,3;67,3;4,0;27,8;9,3;6,9;2,9;1,9;2,1;-15,3;0
010040202;Tiret-Les Allymes;01004;Ambérieu-en-Bugey;7,0;17978,4;23382,2;30247,6;0,5;13522,0;16584,0;18986,1;21062,0;25620,4;28624,5;31976,1;38243,0;2,8;3,5;0,3;70,0;5,6;26,2;12,6;3,7;2,2;0,7;0,8;-18,1;0
010330101;Coupy-Vanchy;01033;Bellegarde-sur-Valserine;19,6;13547,7;19947,4;29562,8;0,8;9425,2;12504,0;14762,0;17254,0;23447,5;27196,0;33420,7;44688,0;4,7;5,4;0,3;76,0;1,6;23,8;6,8;4,7;1,9;1,6;1,3;-12,9;0
010330102;Centre Ville;01033;Bellegarde-sur-Valserine;20,3;13570,0;18644,6;26278,6;0,7;9583,4;12134,4;14554,3;16535,3;21518,7;24378,0;28566,9;37189,0;3,9;4,9;0,3;69,9;3,0;26,5;8,0;5,8;1,9;1,9;2,0;-13,2;0
010330201;Arc Vouvray-Gare-Chatillon;01033;Bellegarde-sur-Valserine;14,0;15747,7;22123,0;31938,7;0,7;10600,0;14148,8;16918,0;19556,0;24945,6;29141,6;34951,4;45174,8;4,3;5,3;0,3;73,3;4,7;25,6;7,4;3,8;1,6;1,1;1,1;-14,8;0
010330202;Plateau de Musinens;01033;Bellegarde-sur-Valserine;21,5;12972,0;17192,7;24618,8;0,7;9394,5;11733,0;14076,3;15298,0;19656,7;22874,8;26824,8;34866,7;3,7;4,4;0,3;68,8;1,4;28,1;5,8;8,5;3,4;2,6;2,5;-12,6;0
010330301;Arlod;01033;Bellegarde-sur-Valserine;16,8;14118,0;18957,0;26717,0;0,7;10330,3;12942,4;15067,9;16972,7;21614,7;24293,3;29734,0;36090,0;3,5;4,2;0,3;78,4;1,0;20,1;6,6;5,9;3,2;1,3;1,4;-12,0;0
010530101;Centre-Ville;01053;Bourg-en-Bresse;18,3;13606,3;18338,9;24990,0;0,6;9197,0;12586,0;14443,2;16190,0;20590,0;23231,2;28395,6;36316,7;3,9;5,0;0,3;67,8;5,6;22,6;13,5;7,4;2,0;2,6;2,8;-16,9;0
010530102;Champ-de-Foire;01053;Bourg-en-Bresse;15,3;14751,9;19219,0;26595,3;0,6;10274,5;13251,9;15589,2;17405,0;21862,0;24806,0;28889,0;36655,0;3,6;4,3;0,3;53,6;3,8;42,4;12,1;5,5;1,2;2,3;2,0;-17,4;0
010530103;Prefecture;01053;Bourg-en-Bresse;15,3;14933,0;20538,0;30607,3;0,8;10487,0;13305,3;16126,0;18182,0;23625,3;28020,0;33679,3;47254,0;4,5;5,7;0,3;63,5;9,9;29,9;13,1;5,1;1,5;1,9;1,8;-21,5;0
010530201;Citadelle;01053;Bourg-en-Bresse;16,1;14324,2;18994,0;25543,5;0,6;10249,6;13273,0;15315,4;17406,1;21091,0;23718,1;27552,0;34557,9;3,4;4,1;0,3;63,5;2,7;35,0;8,6;6,4;2,0;2,3;2,1;-16,2;0
010530202;Mail;01053;Bourg-en-Bresse;27,1;11890,0;16308,2;21915,0;0,6;8541,3;10779,0;12743,0;14581,7;17895,2;20308,0;23620,0;28979,6;3,4;4,1;0,3;66,4;3,0;26,5;6,5;10,9;3,4;4,0;3,4;-13,3;0
010530203;Peloux;01053;Bourg-en-Bresse;16,1;13921,0;19428,9;26180,0;0,6;10738,5;12987,3;14821,3;16664,6;21605,3;24291,0;27827,0;32623,3;3,0;3,7;0,3;65,6;2,3;32,5;8,1;7,1;2,6;2,3;2,2;-15,6;0
010530301;Gare;01053;Bourg-en-Bresse;10,3;16257,6;22055,5;29756,5;0,6;12163,0;15158,0;17477,6;19737,8;24765,0;27889,0;32886,9;42314,7;3,5;4,5;0,3;70,0;4,7;29,4;12,3;3,5;1,1;1,1;1,3;-19,9;0
010530302;Brou;01053;Bourg-en-Bresse;16,9;14033,0;18968,0;24929,0;0,6;10259,4;12977,6;14960,5;17045,5;20960,0;23380,0;27321,0;34484,0;3,4;4,2;0,3;68,5;3,9;29,1;8,4;7,1;2,4;2,4;2,3;-17,0;0
010530401;Vennes-Ouest;01053;Bourg-en-Bresse;19,5;13426,0;18741,0;24068,1;0,6;9893,8;12287,8;14271,5;16668,3;20331,3;22829,0;26017,2;31926,3;3,2;3,9;0,3;55,1;5,0;38,0;8,7;7,5;2,9;2,6;2,1;-14,3;0
010530402;Vennes-Est;01053;Bourg-en-Bresse;;16137,0;20917,5;27104,0;0,5;12667,7;15087,1;17250,0;19055,5;22882,2;25466,0;29128,7;35527,3;2,8;3,4;0,2;67,2;2,8;33,2;8,9;4,5;2,2;1,0;1,2;-16,6;0
010530501;Baudieres;01053;Bourg-en-Bresse;;16198,9;22307,3;29841,0;0,6;11744,7;14925,2;17408,1;19802,8;24882,0;27836,7;33030,0;40448,0;3,4;4,0;0,3;54,2;5,0;43,9;11,4;3,8;1,3;1,3;1,2;-18,3;0
010530502;Sardieres;01053;Bourg-en-Bresse;13,0;15251,8;20043,3;27314,0;0,6;11113,0;14128,1;16052,8;18233,3;22017,2;25100,0;29050,7;37061,3;3,3;4,3;0,3;61,5;5,9;33,3;11,7;5,3;2,4;1,5;1,4;-17,7;0
010530503;Croix-Blanche;01053;Bourg-en-Bresse;37,2;10715,4;13855,2;18151,0;0,5;8132,9;9962,5;11237,0;12602,6;15129,0;16945,0;19398,0;22283,0;2,7;3,5;0,3;59,2;2,1;24,7;5,1;19,7;5,8;7,4;6,5;-10,8;0
010530601;Pont-des-Chevres;01053;Bourg-en-Bresse;34,9;10635,1;14680,0;19598,5;0,6;8359,3;9955,0;11384,7;13159,0;16234,3;18108,0;21146,0;25652,0;3,1;3,7;0,3;53,8;1,1;35,7;6,8;14,2;4,6;4,8;4,8;-11,6;0
010530602;Reyssouze-Ouest;01053;Bourg-en-Bresse;36,3;10848,1;14248,0;18975,0;0,6;8094,0;10188,1;11460,7;12862,3;15630,8;17559,0;19880,0;23845,3;2,9;3,5;0,2;51,3;0,9;38,0;6,2;14,3;4,8;4,9;4,6;-10,7;0
010530603;Reyssouze-Est;01053;Bourg-en-Bresse;;10170,0;12862,0;16533,9;0,5;8286,8;9542,0;10746,1;11867,0;14143,3;15758,0;17415,7;19821,3;2,4;2,8;0,2;;;;;;;;;;0
010530604;Cenord-Grand-Challes;01053;Bourg-en-Bresse;;15420,7;20695,5;27324,0;0,6;10861,3;14141,5;16547,2;18755,7;22629,8;25666,0;28393,0;33459,5;3,1;3,5;0,2;55,2;2,7;42,9;10,2;4,7;2,1;1,3;1,2;-15,7;0
010530701;Granges-Bardes-Alagnier;01053;Bourg-en-Bresse;13,9;14728,6;19400,4;24320,7;0,5;10745,3;13716,0;15768,0;17658,0;21127,0;23149,3;26310,7;31791,5;3,0;3,7;0,3;72,6;2,4;27,2;7,4;6,9;3,2;1,9;1,8;-16,5;0
012830102;Zus Centre;01283;Oyonnax;34,5;11371,9;14069,0;17867,8;0,5;8756,8;10624,6;11814,8;12914,3;15338,8;16961,0;18713,2;22068,7;2,5;2,9;0,2;63,0;0,4;25,5;3,6;16,2;6,4;4,6;5,2;-8,7;0
012830103;Zus Nord Est;01283;Oyonnax;28,7;11896,0;14791,9;18697,8;0,5;9154,0;11142,0;12378,9;13460,0;16134,6;17899,0;20058,8;23563,3;2,6;3,1;0,2;59,7;0,8;32,4;5,2;12,4;5,4;2,9;4,0;-10,5;0
