IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6016;DISP_Q116;DISP_MED16;DISP_Q316;DISP_EQ16;DISP_D116;DISP_D216;DISP_D316;DISP_D416;DISP_D616;DISP_D716;DISP_D816;DISP_D916;DISP_RD16;DISP_S80S2016;DISP_GI16;DISP_PACT16;DISP_PTSA16;DISP_PCHO16;DISP_PBEN16;DISP_PPEN16;DISP_PPAT16;DISP_PPSOC16;DISP_PPFAM16;DISP_PPMINI16;DISP_PPLOGT16;DISP_PIMPOT16;DISP_NOTE16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010040101;Les Perouses-Triangle d'Activite;01004;Ambérieu-en-Bugey;19,5;13480;18653;24093;0,57;10237;12705;14169;16313;20790;22968;25565;30336;3,0;3,406;0,241;69,8;62,9;4,4;2,5;28,1;7,3;8,3;3,4;2,8;2,2;-13,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010040102;Longeray-Gare;01004;Ambérieu-en-Bugey;26,1;12331;16899;22640;0,61;9347;11429;13102;14882;19043;21270;24101;28802;3,1;3,620;0,252;69,1;62,5;4,2;2,5;26,5;6,4;10,9;3,5;3,9;3,4;-12,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010040201;Centre-St Germain-Vareilles;01004;Ambérieu-en-Bugey;17,9;14040;19090;24539;0,55;10292;12962;15145;17101;20873;23141;26114;31911;3,1;3,799;0,259;72,2;64,5;3,3;4,3;28,3;7,3;7,5;2,9;2,2;2,3;-15,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010040202;Tiret-Les Allymes;01004;Ambérieu-en-Bugey;8,9;17548;23449;30489;0,55;13137;16272;18627;20982;25822;28908;32841;39364;3,0;3,722;0,259;76,6;70,0;2,4;4,2;26,2;11,7;3,7;2,1;0,8;0,8;-18,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330101;Coupy-Vanchy;01033;Bellegarde-sur-Valserine;19,7;14211;20741;30993;0,81;9735;12525;15038;17306;24056;28342;36179;48224;5,0;5,928;0,341;80,1;73,9;4,4;1,8;23,3;4,6;4,6;1,6;1,8;1,2;-12,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330102;Centre Ville;01033;Bellegarde-sur-Valserine;20,8;13524;18823;27201;0,73;10135;12291;14382;16751;21673;25149;29724;38626;3,8;4,915;0,314;74,0;67,0;4,9;2,2;26,0;7,9;5,4;1,7;1,9;1,8;-13,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330201;Arc Vouvray-Gare-Chatillon;01033;Bellegarde-sur-Valserine;14,4;15587;22792;34087;0,81;10901;14046;17099;20340;25765;31055;37063;52002;4,8;5,613;0,337;78,1;70,5;3,4;4,2;26,9;5,9;3,6;1,6;1,1;1,0;-14,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330202;Plateau de Musinens;01033;Bellegarde-sur-Valserine;23,2;12894;17180;24489;0,67;9682;11797;13709;15303;19556;22573;27190;36306;3,7;4,657;0,311;68,6;63,1;4,2;1,3;30,3;5,0;8,4;3,0;3,1;2,3;-12,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330301;Arlod;01033;Bellegarde-sur-Valserine;19,8;13805;19839;28440;0,74;9822;12592;15072;17116;22898;25920;30023;37070;3,8;4,679;0,299;81,2;75,3;5,7;0,3;20,2;4,4;6,1;3,0;1,6;1,4;-11,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530101;Centre-Ville;01053;Bourg-en-Bresse;21,8;13034;18427;25270;0,66;9262;12116;14132;16233;20608;23454;27921;35411;3,8;4,965;0,312;73,2;65,5;3,7;4,1;23,2;12,9;7,6;1,8;3,0;2,8;-16,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
