IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6017;DISP_Q117;DISP_MED17;DISP_Q317;DISP_EQ17;DISP_D117;DISP_D217;DISP_D317;DISP_D417;DISP_D617;DISP_D717;DISP_D817;DISP_D917;DISP_RD17;DISP_S80S2017;DISP_GI17;DISP_PACT17;DISP_PTSA17;DISP_PCHO17;DISP_PBEN17;DISP_PPEN17;DISP_PPAT17;DISP_PPSOC17;DISP_PPFAM17;DISP_PPMINI17;DISP_PPLOGT17;DISP_PIMPOT17;DISP_NOTE17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010040101;Les Perouses-Triangle d'Activité;01004;Ambérieu-en-Bugey;19,8;13960;19250;24640;0,56;10720;12730;14780;17350;21330;23350;25990;30420;2,8;3,3;0,23;70,4;63,6;4,2;2,6;27,6;7,2;8,6;3,3;3,1;2,2;-13,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010040102;Longeray-Gare;01004;Ambérieu-en-Bugey;26,6;12420;17070;22480;0,59;9720;11650;13060;15170;18900;21170;23870;28670;3,0;3,6;0,26;67,5;60,8;4,5;2,2;25,9;8,6;11,1;3,7;4,1;3,3;-13,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010040201;Centre-St Germain-Vareilles;01004;Ambérieu-en-Bugey;17,4;14280;19140;25100;0,57;10600;13210;15160;17000;21180;23650;26710;32000;3,0;3,7;0,26;72,4;64,9;3,4;4,1;28,4;6,8;7,5;3,0;2,4;2,1;-15,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010040202;Tiret-Les Allymes;01004;Ambérieu-en-Bugey;8,9;17850;23690;30330;0,53;13330;16410;18930;21190;26050;28740;32720;39710;3,0;3,6;0,25;77,1;70,3;2,9;3,9;26,4;10,2;4,0;2,2;1,0;0,8;-17,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330101;Coupy-Vanchy;01033;Bellegarde-sur-Valserine;18,5;14070;21290;31830;0,83;10740;12920;15340;17860;24290;28250;35560;44710;4,2;5,1;0,32;81,1;74,9;4,5;1,7;22,4;5,0;4,7;1,7;1,8;1,2;-13,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330102;Centre Ville;01033;Bellegarde-sur-Valserine;20,9;13580;19230;27000;0,70;10080;12470;14940;17110;21930;25270;29490;36730;3,6;4,6;0,30;75,3;68,6;4,8;1,9;25,0;8,0;5,4;1,7;2,0;1,7;-13,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330201;Arc Vouvray-Gare-Chatillon;01033;Bellegarde-sur-Valserine;14,9;15800;22930;32470;0,73;11150;14620;17080;20410;25800;29870;35720;49910;4,5;5,3;0,33;79,1;70,9;3,7;4,5;26,2;6,2;3,3;1,5;0,8;1,0;-14,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330202;Plateau de Musinens;01033;Bellegarde-sur-Valserine;23,3;13040;18160;24820;0,65;10140;12270;14090;15860;20160;23070;26680;35350;3,5;4,3;0,29;67,9;62,7;4,2;1,0;31,1;5,2;8,2;3,0;2,9;2,3;-12,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010330301;Arlod;01033;Bellegarde-sur-Valserine;19,3;14260;20300;28600;0,71;10510;12870;15500;17690;22650;26720;30750;37450;3,6;4,3;0,29;81,6;75,4;5,7;0,5;20,0;4,4;5,8;3,0;1,4;1,4;-11,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530101;Centre Ville;01053;Bourg-en-Bresse;17,5;14140;19330;25830;0,60;10760;13140;15220;17120;21540;24350;28820;36800;3,4;4,4;0,29;73,5;65,4;3,3;4,8;23,0;12,1;7,8;1,8;3,5;2,5;-16,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
