CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
02;Martinique;148503;353391;239030,9;10780,0;16074,0;23906,0;13126,0;7770,0;9859,0;11806,7;13854,0;18635,0;21850,7;26457,0;34287,3;4,4;5,5;0,3;69,1;5,6;22,7;3,9;11,7;3,0;6,3;2,4;-13,0
04;La Réunion;294830;840187;529022,1;9544,0;13827,8;21755,4;12211,4;7043,1;8815,4;10235,0;11890,0;16288,0;19597,3;24546,9;33479,3;4,8;6,0;0,4;67,9;8,1;15,2;5,4;15,9;4,7;7,7;3,5;-12,5
11;Île-de-France;4846044;11950597;7929347,1;15118,0;22522,0;32626,5;17508,5;10222,9;13608,1;16592,1;19518,0;25916,0;30037,5;35803,3;46425,2;4,5;5,9;0,3;78,9;5,0;21,3;12,3;4,4;2,0;1,2;1,2;-21,9
24;Centre-Val de Loire;1104087;2524686;1728509,7;15355,6;20338,4;26510,7;11155,1;11249,3;14182,7;16431,0;18438,1;22388,8;24925,0;28476,3;34836,0;3,1;3,8;0,3;64,0;5,4;31,4;10,1;5,1;2,3;1,5;1,3;-16,0
27;Bourgogne-Franche-Comté;1218290;2730321;1885131,4;15170,0;20088,7;26224,6;11054,6;11227,1;14034,0;16223,3;18190,5;22126,1;24646,0;28211,3;34625,3;3,1;3,7;0,3;63,8;5,7;31,7;9,3;5,2;2,2;1,6;1,4;-15,7
28;Normandie;1401679;3246566;2211859,4;15014,8;19900,0;25894,0;10879,2;11070,0;13875,6;16062,8;18012,7;21900,3;24357,0;27823,3;34011,4;3,1;3,7;0,3;64,2;5,7;30,4;9,2;5,8;2,5;1,8;1,6;-15,3
32;Hauts-de-France;2401856;5868289;3914466,2;13698,0;18812,0;24999,1;11301,1;10040,5;12608,0;14751,6;16774,6;20906,7;23433,3;26911,3;33208,0;3,3;4,0;0,3;67,0;5,6;27,1;8,3;7,4;3,0;2,4;2,0;-15,4
44;Grand Est;2309488;5333780;3644725,2;15016,0;20417,5;27295,7;12279,7;10846,0;13790,0;16150,8;18326,7;22698,6;25518,5;29490,7;36753,9;3,4;4,2;0,3;63,9;5,6;27,9;13,3;5,2;2,1;1,6;1,5;-15,9
52;Pays de la Loire;1551029;3631592;2459978,2;15688,0;20149,5;25738,7;10050,7;11854,9;14622,8;16653,3;18461,6;21984,2;24281,0;27562,5;33581,0;2,8;3,4;0,2;65,8;5,5;29,3;9,6;5,3;2,6;1,3;1,4;-15,5
53;Bretagne;1418370;3206166;2203680,9;15813,6;20470,0;26445,5;10631,9;11929,4;14730,0;16800,7;18681,0;22428,1;24882,7;28399,4;34747,5;2,9;3,5;0,2;61,0;6,5;31,8;11,5;5,0;2,3;1,4;1,3;-15,8
75;Nouvelle-Aquitaine;2575240;5706739;3964735,2;15010,0;19991,7;26298,1;11288,1;11033,0;13878,1;16057,0;18046,7;22072,0;24668,1;28354,0;35039,3;3,2;3,9;0,3;60,4;6,3;32,6;11,5;5,2;2,0;1,7;1,4;-16,0
76;Occitanie;2483123;5565113;3845029,4;14091,7;19457,2;26184,3;12092,6;10054,1;12908,5;15206,5;17320,7;21708,0;24463,5;28304,4;35069,3;3,5;4,3;0,3;61,1;6,5;31,1;11,2;6,1;2,2;2,1;1,8;-16,0
84;Auvergne-Rhône-Alpes;3295160;7644074;5199963,2;15512,3;20944,3;28151,0;12638,7;11292,0;14284,7;16651,0;18832,0;23301,8;26258,9;30488,0;38301,7;3,4;4,2;0,3;68,4;5,2;27,1;11,0;4,8;2,2;1,3;1,3;-16,5
93;Provence-Alpes-Côte d'Azur;2197474;4980380;3427266,3;14130,3;19893,0;27286,5;13156,2;9886,2;12880,5;15307,8;17608,8;22375,0;25400,0;29583,5;36972,7;3,7;4,6;0,3;63,0;6,4;31,1;11,8;5,6;2,0;2,0;1,6;-17,9
94;Corse;122411;270104;188528,8;13309,0;18926,7;26009,6;12700,6;9484,8;12163,5;14431,6;16639,5;21325,0;24220,0;28158,6;35002,0;3,7;4,7;0,3;61,0;8,3;31,3;10,8;5,8;1,7;2,5;1,6;-17,2
