CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PCHO15;PTSA15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15
02;Martinique;149744,0;350988,0;238848,1;11092,4;16654,6;24868,3;13776,0;8017,0;10110,4;12139,2;14286,3;19381,2;22767,0;27484,1;35647,3;4,4;5,6;0,3;73,1;3,7;64,0;5,5;22,6;6,1;11,3;2,8;6,2;2,3;-13,1
04;La Réunion;301424,0;847322,5;536131,8;9866,7;14258,0;22524,7;12658,0;7329,4;9141,3;10596,0;12271,1;16796,2;20241,6;25346,5;34552,5;4,7;5,9;0,4;74,7;4,8;61,9;8,0;15,0;7,1;15,7;4,5;7,6;3,5;-12,5
11;Île-de-France;4866994,0;11973482,0;7951685,1;15134,8;22638,9;32619,5;17484,7;10239,0;13617,4;16641,0;19611,0;25986,9;30072,6;35742,8;46297,3;4,5;6,0;0,3;84,7;3,1;76,5;5,1;21,5;11,5;4,3;1,9;1,3;1,2;-22,0
24;Centre-Val de Loire;1108425,0;2526871,0;1732322,7;15414,0;20494,0;26519,0;11105,0;11275,2;14231,3;16520,7;18556,9;22536,7;24986,7;28463,0;34617,3;3,1;3,7;0,3;69,4;3,0;61,2;5,2;31,9;9,5;5,1;2,2;1,6;1,3;-15,9
27;Bourgogne-Franche-Comté;1221204,0;2725010,5;1884878,5;15275,3;20340,0;26466,1;11190,8;11316,0;14131,0;16363,3;18399,0;22395,3;24878,4;28460,9;35004,0;3,1;3,8;0,3;69,4;3,0;60,8;5,6;31,9;9,2;5,2;2,1;1,7;1,4;-15,7
28;Normandie;1407483,0;3241777,0;2213719,1;15080,0;20087,0;25993,8;10913,8;11100,0;13942,7;16153,0;18158,3;22094,5;24492,0;27876,7;33993,9;3,1;3,7;0,3;69,7;3,2;61,0;5,5;30,9;8,9;5,8;2,4;1,9;1,6;-15,3
32;Hauts-de-France;2409813,0;5854559,5;3913841,6;13766,3;18982,0;25174,7;11408,4;10099,2;12670,7;14815,6;16914,0;21133,0;23641,1;27085,3;33320,0;3,3;4,0;0,3;72,3;3,5;63,4;5,4;27,4;8,3;7,4;2,9;2,5;2,0;-15,4
44;Grand Est;2315293,0;5326073,5;3645187,6;15007,2;20502,0;27282,0;12274,8;10839,0;13794,8;16164,3;18378,7;22775,0;25526,0;29447,8;36593,5;3,4;4,2;0,3;69,9;3,2;61,2;5,5;28,4;12,3;5,3;2,1;1,7;1,5;-15,9
52;Pays de la Loire;1563359,0;3648005,5;2475021,4;15796,7;20390,8;25949,0;10152,3;11927,3;14708,7;16811,0;18644,0;22248,1;24499,0;27772,0;33805,2;2,8;3,5;0,2;71,0;3,1;62,5;5,3;29,6;9,7;5,2;2,5;1,4;1,4;-15,5
53;Bretagne;1429087,0;3220412,0;2216976,3;15810,4;20511,4;26322,7;10512,3;11920,8;14708,8;16833,0;18713,0;22453,8;24817,0;28218,0;34336,4;2,9;3,5;0,2;68,2;3,1;58,7;6,4;32,6;9,9;5,0;2,2;1,5;1,3;-15,7
75;Nouvelle-Aquitaine;2594663,0;5729103,5;3986258,2;15100,7;20147,6;26340,5;11239,8;11118,0;13974,8;16173,3;18184,0;22238,0;24757,0;28341,2;34860,0;3,1;3,9;0,3;67,1;3,2;57,5;6,3;33,2;10,4;5,2;1,9;1,8;1,4;-15,9
76;Occitanie;2498864,0;5579574,5;3860762,7;14232,7;19672,0;26324,0;12091,3;10170,3;13042,5;15351,1;17522,9;21933,3;24635,3;28413,3;35080,0;3,4;4,2;0,3;67,7;3,5;57,8;6,5;31,5;10,7;6,1;2,1;2,2;1,8;-16,0
84;Auvergne-Rhône-Alpes;3320218,0;7679762,0;5230021,0;15648,7;21231,3;28431,0;12782,3;11368,0;14396,9;16836,0;19070,0;23596,7;26530,0;30786,0;38705,0;3,4;4,3;0,3;73,4;3,1;65,2;5,1;27,3;11,1;4,8;2,1;1,4;1,3;-16,6
93;Provence-Alpes-Côte d'Azur;2212376,0;4995779,0;3442276,4;14316,0;20265,3;27699,3;13383,3;10013,3;13044,8;15543,8;17921,0;22782,5;25797,6;30025,2;37460,0;3,7;4,7;0,3;68,9;3,5;59,0;6,4;31,0;12,4;5,6;2,0;2,0;1,6;-17,9
94;Corse;123794,0;270175,5;189335,8;13540,0;19246,7;26312,7;12772,7;9628,1;12389,3;14667,8;16928,0;21669,3;24528,7;28498,3;35434,0;3,7;4,7;0,3;68,7;3,0;57,2;8,5;31,6;11,2;5,6;1,6;2,5;1,6;-17,1
