CODGEO;LIBGEO;NBMEN16;NBPERS16;NBUC16;Q116;Q216;Q316;Q3_Q1;D116;D216;D316;D416;D616;D716;D816;D916;RD;S80S2016;GI16;PACT16;PTSA16;PCHO16;PBEN16;PPEN16;PPAT16;PPSOC16;PPFAM16;PPMINI16;PPLOGT16;PIMPOT16
02;Martinique;148960;341866;234696,9;11446;17057;25485;14040;8300;10407;12531;14685;19895;23335;28102;36240;4,4;5,517;0,333;73,1;64,0;3,7;5,4;23,2;5,7;11,4;2,7;6,5;2,3;-13,4
04;La Réunion;307206;850081;541432,8;10193;14733;23166;12973;7693;9492;10963;12669;17335;20851;26028;35035;4,6;5,711;0,351;74,9;62,2;5,0;7,7;15,1;6,8;15,9;4,4;8,1;3,4;-12,7
11;Île-de-France;4884307;11912806;7941531,9;15365;22906;32871;17507;10469;13842;16876;19857;26244;30327;35997;46607;4,5;5,858;0,345;85,4;77,3;3,1;5,0;21,6;10,8;4,4;1,8;1,4;1,2;-22,2
24;Centre-Val de Loire;1112341;2516913;1731606,9;15538;20658;26685;11146;11423;14347;16650;18709;22734;25166;28596;34694;3,0;3,701;0,255;69,3;61,5;3,0;4,8;32,3;8,8;5,3;2,2;1,8;1,3;-15,7
27;Bourgogne-Franche-Comté;1221281;2707291;1878540,6;15460;20579;26775;11315;11508;14313;16565;18600;22685;25190;28761;35355;3,1;3,744;0,259;69,6;61,1;3,0;5,5;32,2;8,6;5,3;2,1;1,9;1,3;-15,7
28;Normandie;1410876;3223913;2209655,0;15261;20301;26232;10970;11311;14126;16347;18373;22344;24746;28087;34148;3,0;3,679;0,255;69,6;61,1;3,2;5,3;31,3;8,2;6,0;2,3;2,1;1,5;-15,1
32;Hauts-de-France;2415251;5814897;3903251,3;13992;19249;25469;11477;10337;12878;15049;17156;21418;23942;27345;33548;3,2;3,956;0,271;72,2;63,7;3,4;5,1;27,7;7,8;7,6;2,8;2,8;2,0;-15,3
44;Grand Est;2322241;5300008;3640177,1;15183;20751;27567;12384;11027;13970;16358;18587;23060;25817;29737;36953;3,4;4,119;0,277;69,8;61,4;3,1;5,3;28,7;11,9;5,4;2,0;1,9;1,5;-15,8
52;Pays de la Loire;1577232;3658605;2490089,5;16007;20642;26254;10248;12145;14910;17019;18871;22529;24813;28067;34078;2,8;3,430;0,243;71,3;63,0;3,0;5,2;29,8;9,0;5,3;2,4;1,6;1,3;-15,4
53;Bretagne;1440097;3225483;2227537,3;15986;20742;26595;10608;12106;14877;17018;18910;22716;25102;28473;34585;2,9;3,490;0,246;68,3;59,1;3,0;6,2;32,9;9,3;5,1;2,2;1,7;1,3;-15,6
75;Nouvelle-Aquitaine;2615300;5738334;4004901,0;15276;20370;26600;11325;11293;14149;16360;18392;22495;25022;28588;35083;3,1;3,820;0,263;67,3;57,9;3,2;6,2;33,5;9,8;5,3;1,9;2,0;1,4;-15,9
76;Occitanie;2521915;5589222;3880722,4;14429;19905;26579;12149;10402;13240;15549;17733;22194;24907;28643;35279;3,4;4,163;0,278;68,0;58,1;3,4;6,6;31,7;10,0;6,3;2,1;2,5;1,7;-16,0
84;Auvergne-Rhône-Alpes;3338422;7670442;5240331,5;15821;21478;28707;12886;11554;14563;17023;19276;23871;26807;31073;39128;3,4;4,263;0,286;73,9;65,7;3,1;5,1;27,4;10,4;4,8;2,0;1,5;1,3;-16,5
93;Provence-Alpes-Côte d'Azur;2226183;4989332;3449206,1;14515;20525;27945;13430;10222;13224;15749;18144;23044;26046;30249;37710;3,7;4,598;0,296;69,3;59,4;3,5;6,4;31,1;11,9;5,7;1,9;2,2;1,6;-18,0
94;Corse;124341;267473;188469,6;13775;19519;26698;12923;9805;12589;14937;17217;21994;24880;28913;35881;3,7;4,671;0,300;68,8;57,3;3,0;8,5;31,9;10,8;5,7;1,5;2,7;1,5;-17,2
