CODGEO;LIBGEO;NBMEN17;NBPERS17;NBUC17;Q117;Q217;Q317;Q3_Q1;D117;D217;D317;D417;D617;D717;D817;D917;RD;S80S2017;GI17;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02;Martinique;149275;336780;232714,7;11890;17580;25980;14090;8710;10810;12940;15200;20360;23840;28640;36740;4,2;5,308;0,327;72,5;63,3;3,9;5,3;23,5;5,4;11,9;2,7;7,0;2,2;-13,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;La Réunion;316435;871868;556088,0;10550;15020;23450;12900;8100;9830;11290;12950;17630;21150;26310;35510;4,4;5,477;0,345;74,5;61,6;5,2;7,7;15,1;6,6;16,4;4,5;8,6;3,4;-12,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Île-de-France;4909110;11921957;7956070,7;15660;23230;33300;17640;10790;14140;17180;20160;26600;30720;36490;47330;4,4;5,802;0,345;85,8;77,6;3,1;5,0;21,3;10,6;4,5;1,9;1,5;1,1;-22,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Centre-Val de Loire;1120490;2525220;1739061,0;15740;20890;27010;11270;11590;14540;16870;18920;23000;25490;28890;35050;3,0;3,678;0,254;69,2;61,5;3,0;4,7;32,3;8,5;5,5;2,2;1,9;1,3;-15,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Bourgogne-Franche-Comté;1223240;2695858;1874008,1;15740;20860;27080;11340;11780;14570;16850;18880;22990;25510;29050;35550;3,0;3,676;0,256;69,5;61,1;3,0;5,5;32,4;8,4;5,3;2,1;1,9;1,3;-15,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Normandie;1415013;3209421;2204966,5;15560;20600;26620;11060;11600;14400;16650;18650;22680;25130;28490;34600;3,0;3,644;0,254;69,4;61,1;3,1;5,2;31,5;8,1;6,0;2,3;2,2;1,5;-15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Hauts-de-France;2430437;5814295;3910124,9;14240;19520;25830;11590;10610;13130;15310;17430;21720;24290;27720;33970;3,2;3,906;0,269;72,1;63,8;3,3;4,9;27,7;7,7;7,7;2,9;2,9;1,9;-15,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Grand Est;2332825;5292202;3641189,1;15420;21030;27920;12500;11240;14170;16610;18850;23380;26160;30110;37310;3,3;4,098;0,277;69,7;61,4;3,0;5,2;28,9;11,8;5,4;2,0;2,0;1,4;-15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Pays de la Loire;1594869;3682734;2509799,1;16320;20980;26680;10370;12400;15200;17340;19200;22920;25230;28500;34620;2,8;3,414;0,242;71,4;63,3;3,0;5,1;29,9;8,8;5,3;2,4;1,6;1,2;-15,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Bretagne;1456371;3245168;2244978,2;16270;21060;27010;10740;12350;15150;17310;19210;23080;25500;28900;35090;2,8;3,467;0,245;68,4;59,3;3,0;6,1;33,0;9,1;5,1;2,2;1,7;1,2;-15,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Nouvelle-Aquitaine;2650795;5792042;4046794,6;15540;20670;26990;11440;11530;14380;16650;18680;22830;25400;28980;35530;3,1;3,796;0,262;67,4;58,1;3,2;6,1;33,4;9,7;5,3;1,9;2,1;1,3;-15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Occitanie;2553948;5625326;3912458,2;14660;20180;26930;12270;10650;13460;15800;18010;22510;25250;29010;35740;3,4;4,126;0,277;68,1;58,2;3,4;6,5;31,6;9,8;6,4;2,1;2,6;1,7;-15,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;3360029;7680189;5254229,9;16130;21840;29110;12980;11800;14850;17350;19610;24260;27210;31490;39570;3,4;4,211;0,284;74,1;65,9;3,1;5,0;27,5;10,1;4,8;2,1;1,6;1,2;-16,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Provence-Alpes-Côte d'Azur;2238549;4982421;3451104,3;14770;20800;28290;13520;10490;13470;16020;18430;23360;26390;30610;38190;3,6;4,541;0,295;69,5;59,5;3,6;6,4;31,0;11,6;5,8;2,0;2,3;1,5;-17,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Corse;123785;262084;185667,7;14170;20000;27300;13120;10130;12970;15340;17670;22500;25490;29530;36640;3,6;4,611;0,299;68,5;56,9;3,0;8,7;32,0;10,9;5,8;1,5;2,8;1,4;-17,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
