codgeo;libgeo;an;p_licsport014
01;Guadeloupe;2016;41,90
01;Guadeloupe;2018;37,00
02;Martinique;2016;34,10
02;Martinique;2018;42,00
03;Guyane;2016;19,80
03;Guyane;2018;18,20
04;La Réunion;2016;38,90
04;La Réunion;2018;38,30
06;Mayotte;2016;
06;Mayotte;2018;
11;Île-de-France;2016;42,00
11;Île-de-France;2018;42,10
24;Centre-Val de Loire;2016;52,50
24;Centre-Val de Loire;2018;50,20
27;Bourgogne-Franche-Comté;2016;49,60
27;Bourgogne-Franche-Comté;2018;50,70
28;Normandie;2016;43,60
28;Normandie;2018;43,80
32;Hauts-de-France;2016;40,00
32;Hauts-de-France;2018;41,70
44;Grand Est;2016;51,70
44;Grand Est;2018;51,80
52;Pays de la Loire;2016;47,90
52;Pays de la Loire;2018;46,50
53;Bretagne;2016;51,20
53;Bretagne;2018;50,10
75;Nouvelle-Aquitaine;2016;56,50
75;Nouvelle-Aquitaine;2018;56,60
76;Occitanie;2016;50,40
76;Occitanie;2018;50,90
84;Auvergne-Rhône-Alpes;2016;49,80
84;Auvergne-Rhône-Alpes;2018;51,20
93;Provence-Alpes-Côte d'Azur;2016;51,60
93;Provence-Alpes-Côte d'Azur;2018;51,00
94;Corse;2016;
94;Corse;2018;50,80
;;;
