codgeo;libgeo;an;p_licsport014_f
01001;L'Abergement-Clémenciat;2018;42,10
01002;L'Abergement-de-Varey;2018;20,00
01004;Ambérieu-en-Bugey;2018;42,40
01005;Ambérieux-en-Dombes;2018;37,90
01006;Ambléon;2018;0,00
01007;Ambronay;2018;42,90
01008;Ambutrix;2018;35,40
01009;Andert-et-Condon;2018;17,60
01010;Anglefort;2018;37,00
01011;Apremont;2018;35,90
01012;Aranc;2018;29,20
01013;Arandas;2018;20,00
01014;Arbent;2018;38,40
01015;Arboys en Bugey;2018;30,00
01016;Arbigny;2018;20,90
01017;Argis;2018;42,90
01019;Armix;2018;
01021;Ars-sur-Formans;2018;36,90
01022;Artemare;2018;47,60
01023;Asnières-sur-Saône;2018;66,70
01024;Attignat;2018;41,80
01025;Bâgé-Dommartin;2018;34,80
01026;Bâgé-le-Châtel;2018;30,30
01027;Balan;2018;28,20
01028;Baneins;2018;51,20
01029;Beaupont;2018;42,30
01030;Beauregard;2018;37,00
01031;Bellignat;2018;35,40
01032;Béligneux;2018;38,00
01033;Valserhône;2018;36,70
01034;Belley;2018;40,80
01035;Belleydoux;2018;50,00
01036;Valromey-sur-Séran;2018;47,60
01037;Bénonces;2018;27,30
01038;Bény;2018;54,80
01039;Béon;2018;34,40
01040;Béréziat;2018;47,40
01041;Bettant;2018;40,50
01042;Bey;2018;23,80
01043;Beynost;2018;37,00
01044;Billiat;2018;36,50
01045;Birieux;2018;35,70
01046;Biziat;2018;41,80
01047;Blyes;2018;20,00
01049;La Boisse;2018;24,60
01050;Boissey;2018;13,60
01051;Bolozon;2018;0,00
01052;Bouligneux;2018;46,70
01053;Bourg-en-Bresse;2018;40,00
01054;Bourg-Saint-Christophe;2018;38,00
01056;Boyeux-Saint-Jérôme;2018;30,00
01057;Boz;2018;27,80
01058;Brégnier-Cordon;2018;39,70
01060;Brénod;2018;67,40
01061;Brens;2018;34,80
01062;Bressolles;2018;30,40
01063;Brion;2018;58,00
01064;Briord;2018;26,40
01065;Buellas;2018;30,60
01066;La Burbanche;2018;40,00
01067;Ceignes;2018;25,00
01068;Cerdon;2018;36,00
01069;Certines;2018;45,10
01071;Cessy;2018;38,90
01072;Ceyzériat;2018;39,60
01073;Ceyzérieu;2018;44,20
01074;Chalamont;2018;28,00
01075;Chaleins;2018;41,70
01076;Chaley;2018;
01077;Challes-la-Montagne;2018;53,30
01078;Challex;2018;35,70
01079;Champagne-en-Valromey;2018;39,20
01080;Champdor-Corcelles;2018;52,30
01081;Champfromier;2018;38,30
01082;Chanay;2018;40,00
01083;Chaneins;2018;36,90
01084;Chanoz-Châtenay;2018;35,80
01085;La Chapelle-du-Châtelard;2018;36,40
01087;Charix;2018;34,80
01088;Charnoz-sur-Ain;2018;24,70
01089;Château-Gaillard;2018;45,90
01090;Châtenay;2018;44,80
01092;Châtillon-la-Palud;2018;46,70
01093;Châtillon-sur-Chalaronne;2018;44,40
01094;Chavannes-sur-Reyssouze;2018;33,30
01095;Nivigne et Suran;2018;46,30
01096;Chaveyriat;2018;39,70
01098;Chazey-Bons;2018;41,80
01099;Chazey-sur-Ain;2018;42,20
01100;Cheignieu-la-Balme;2018;100,00
01101;Chevillard;2018;25,00
01102;Chevroux;2018;46,90
01103;Chevry;2018;45,90
01104;Chézery-Forens;2018;43,10
01105;Civrieux;2018;46,60
01106;Cize;2018;37,50
01107;Cleyzieu;2018;100,00
01108;Coligny;2018;41,10
01109;Collonges;2018;33,10
01110;Colomieu;2018;20,00
01111;Conand;2018;20,00
01112;Condamine;2018;37,90
01113;Condeissiat;2018;35,60
01114;Confort;2018;54,90
01115;Confrançon;2018;44,90
01116;Contrevoz;2018;41,40
01117;Conzieu;2018;30,80
01118;Corbonod;2018;27,90
01121;Corlier;2018;28,60
01123;Cormoranche-sur-Saône;2018;42,00
01124;Cormoz;2018;36,70
01125;Corveissiat;2018;35,30
