codgeo;libgeo;an;p_licsport014_f
200000172;CC Faucigny-Glières;2018;43,00
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;2018;39,80
200000545;CC des Portes de Romilly-sur-Seine;2018;33,40
200000628;CC Rhône Lez Provence;2018;35,70
200000800;CC Cœur de Sologne;2018;36,50
200000925;CC de la Plaine Dijonnaise;2018;38,40
200000933;CC Sauldre et Sologne;2018;42,50
200004802;CC du Pays de Fayence;2018;37,30
200005932;CC des Portes de Sologne;2018;34,10
200005957;CC de la Région de Rambervillers;2018;48,00
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;2018;39,40
200006716;CC du Nogentais;2018;44,40
200006930;CC du Haut-Allier;2018;38,70
200006971;CC du Perche;2018;40,10
200007052;CC de la Marche Berrichonne;2018;39,90
200007177;CC Pays de Nérondes;2018;44,90
200010650;CA du Grand Dole;2018;40,50
200010700;CA Caux Seine Agglo;2018;40,20
200011773;CA Annemasse-les Voirons-Agglomération;2018;38,10
200011781;CC Portes du Berry entre Loire et Val d'Aubois;2018;43,60
200013050;CC Sauer-Pechelbronn;2018;41,00
200015162;CC de l'Oriente;2018;31,20
200016905;CC du Pays de Lamastre;2018;38,90
200017341;CC Lodévois et Larzac;2018;33,50
200017846;CA Étampois Sud-Essonne;2018;37,20
200018083;CC de Desvres-Samer;2018;36,20
200018166;CC Le Grésivaudan;2018;38,30
200018406;CC du Romorantinais et du Monestois;2018;43,00
200018521;CC du Val de Bouzanne;2018;38,40
200018653;CA Cap Excellence;2018;36,70
200022986;CC du Grand Pic Saint-Loup;2018;34,60
200023075;CC du Pays de Maîche;2018;47,80
200023125;CC Les Portes Briardes entre Villes et Forêts;2018;38,10
200023240;CC Pays de Nemours;2018;43,30
200023299;CC Cœur de Tarentaise;2018;39,00
200023307;CA du Grand Villeneuvois;2018;39,70
200023372;CC de la Vallée de Chamonix-Mont-Blanc;2018;41,50
200023414;Métropole Rouen Normandie;2018;39,80
200023620;CC de la Gascogne Toulousaine;2018;40,80
200023737;CA du Grand Cahors;2018;42,90
200023778;CC du Pays de Saint-Gilles-Croix-de-Vie;2018;39,50
200023794;CC de Blaye;2018;45,50
200023919;CC Gâtinais Val de Loing;2018;40,30
200026573;CC Haut-Jura Saint-Claude;2018;44,70
200027027;CC Arc Sud Bretagne;2018;45,30
200027076;CC Arnon Boischaut Cher;2018;45,40
200027100;CC Méditerranée Porte des Maures;2018;38,60
200027183;CU Perpignan Méditerranée Métropole;2018;37,80
200027217;CC Sarlat-Périgord Noir;2018;45,10
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;2018;43,90
200027548;CC des Savanes;2018;39,60
200029734;CC des 4B Sud Charente;2018;42,00
200029999;CC Rives de l'Ain - Pays du Cerdon;2018;44,30
200030195;Métropole Nice Côte d'Azur;2018;36,90
200030385;CA de Blois Agglopolys;2018;39,60
200030435;CC d'Aire-sur-l'Adour;2018;47,40
200030526;CC du Ried de Marckolsheim;2018;45,20
200030633;CA du Caudrésis et du Catésis;2018;40,60
200030658;CC du Trièves;2018;39,10
200030674;CA Val de Garonne Agglomération;2018;42,00
200032514;CC Berry-Loire-Vauvise;2018;45,90
200033025;CA de Bar-le-Duc - Sud Meuse;2018;45,20
200033090;CC Plaines et Monts de France;2018;40,80
200033116;CC Cluses-Arve et Montagnes;2018;40,30
200033173;CC de la Haute Vallée de Chevreuse;2018;38,70
200033181;CA Chartres Métropole;2018;40,50
200033298;CC des Coëvrons;2018;38,40
200033579;CU d'Arras;2018;38,20
200033827;CC de Fium'orbu Castellu;2018;45,60
200033868;CC des Ballons des Hautes-Vosges;2018;40,10
200034023;CC Tarn-Agout;2018;42,50
200034031;CC des Monts d'Alban et du Villefranchois;2018;40,80
200034049;CC Centre Tarn;2018;38,40
200034056;CC du Lautrécois et du Pays d'Agout;2018;38,20
200034064;CC du Cordais et du Causse (4 C);2018;42,10
200034098;CC des Montagnes du Giffre;2018;43,70
200034130;CC Gally Mauldre;2018;39,40
200034197;CC de Montaigne Montravel et Gurson;2018;39,20
200034205;CC de la Costa Verde;2018;37,20
200034270;CC du Pays de Barr;2018;44,20
200034379;CC Pays d'Uzès;2018;39,90
200034411;CC du Piémont Cévenol;2018;39,10
200034601;CC Causses Aigoual Cévennes;2018;34,70
200034635;CC du Kochersberg;2018;41,50
200034692;CA du Gard Rhodanien;2018;40,00
200034700;CA Durance-Lubéron-Verdon Agglomération;2018;40,40
200034718;CC de Vitry, Champagne et Der;2018;38,50
200034726;CC Bastides de Lomagne;2018;40,60
200034825;CA du Grand Guéret;2018;39,70
200034833;CC des Bastides Dordogne-Périgord;2018;38,30
200034874;CC Côtes de Meuse Woëvre;2018;43,30
200034882;CC Pays du Mont-Blanc;2018;44,00
200034957;CC du Frontonnais;2018;34,30
200035087;CA Terre de Provence;2018;40,60
200035103;CC de la Vallée de la Haute-Sarthe;2018;41,60
200035111;CC des Sources de l'Orne;2018;37,40
200035129;CC de Cèze Cévennes;2018;43,40
200035137;CC Marche Occitane - Val d'Anglin;2018;46,00
200035202;CC Charlieu-Belmont;2018;39,90
200035319;CA Var Estérel Méditerranée (Cavem);2018;37,20
200035327;CC Cazals-Salviac;2018;28,70
200035442;CC du Sud-Artois;2018;41,80
200035459;CA d'Agen;2018;38,80
200035533;CC du Grand Saint-Émilionnais;2018;40,20
200035541;CC des Landes d'Armagnac;2018;42,30
200035632;CC Armagnac Adour;2018;39,60
200035707;CC Piège Lauragais Malepère;2018;37,70
200035715;CA Carcassonne Agglo;2018;40,60
200035723;CC Ventoux Sud;2018;44,90
200035731;CA Roannais Agglomération;2018;40,40
200035756;CC Astarac Arros en Gascogne;2018;37,90
200035764;CC de la Beauce Loirétaine;2018;40,90
200035772;CC du Pays du Saintois;2018;41,70
200035814;CA Flers Agglo;2018;42,30
200035848;CC du Châtillonnais en Berry;2018;36,00
200035855;CC Castelnaudary Lauragais Audois;2018;38,90
200035863;CC Région Lézignanaise, Corbières et Minervois;2018;41,60
200035970;CC Vexin Centre;2018;41,80
200036069;CC du Pays de Mortagne-au-Perche;2018;37,70
200036077;CC du Golfe de Saint-Tropez;2018;36,60
200036135;CC Cœur de France;2018;40,10
200036150;CC des Hauts du Val de Saône;2018;40,10
200036465;CC de Thann-Cernay;2018;44,20
200036473;CA de Saintes;2018;40,00
200036499;CC de Marana-Golo;2018;37,50
200036523;CC des Bastides en Haut-Agenais Périgord;2018;42,10
200036549;CC Val de Gray;2018;44,90
200036572;CC Porte d'Aquitaine en Pays de Serres;2018;40,50
200037059;CC de la Haute-Somme;2018;43,30
200037133;CC du Provinois;2018;43,30
200038958;CC de la Pieve de l'Ornano et du Taravo;2018;40,30
200038990;CC de Saint-Méen Montauban;2018;40,60
200039022;CA Vitré Communauté;2018;38,90
200039055;CC Ouche et Montagne;2018;43,30
200039063;CC Forêts, Seine et Suzon;2018;37,00
200039204;CC de Lacq-Orthez;2018;38,30
200039519;CC du Quercy Blanc;2018;43,80
200039642;CC Le Tonnerrois en Bourgogne;2018;41,70
200039709;CC du Serein;2018;44,10
200039758;CC Avallon, Vézelay, Morvan;2018;45,20
200039808;CC des Gorges de l'Ardèche;2018;34,30
200039824;CC Ardèche des Sources et Volcans;2018;36,70
200039832;CC Pays des Vans en Cévennes;2018;42,60
200039857;CA du Pays de Grasse;2018;39,80
200039865;Metz Métropole;2018;41,00
200039907;CC du Sud Messin;2018;41,90
200039915;CA Cannes Pays de Lérins;2018;34,90
200039931;CC Alpes d'Azur;2018;41,90
200039949;CC Rives de Moselle;2018;42,50
200040038;CC Saône Doubs Bresse;2018;33,10
200040095;CC Isle Vern Salembre en Périgord;2018;44,30
200040111;CC Cœur de Chartreuse;2018;48,80
200040137;CC des Lacs de Champagne;2018;50,60
200040178;CC de l'Outre-Forêt;2018;41,00
200040202;CC Provence Verdon;2018;37,00
200040210;CC Lacs et Gorges du Verdon;2018;34,60
200040244;CA du Bocage Bressuirais;2018;42,80
200040251;CC Bassée-Montois;2018;44,20
200040277;CA du Pays de Dreux;2018;39,70
200040293;CC du Clunisois;2018;39,80
200040350;CC Bugey Sud;2018;42,10
200040384;CC Isle Double Landais;2018;33,00
200040392;CA Le Grand Périgueux;2018;39,90
200040400;CC du Périgord Ribéracois;2018;39,00
200040418;CC du Pays de Serres en Quercy;2018;36,00
200040426;CC du Val de l'Oise;2018;40,00
200040442;CA Luberon Monts de Vaucluse;2018;37,90
200040459;CA Montélimar Agglomération;2018;38,10
200040475;CC Loué - Brûlon - Noyen;2018;36,60
200040491;CC Porte de Drômardèche;2018;40,30
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;2018;35,00
200040558;CC Écueillé-Valençay;2018;34,50
200040566;CA de l'Ouest Rhodanien;2018;42,80
200040574;CC Beaujolais Pierres Dorées;2018;43,00
200040590;CA Villefranche Beaujolais Saône;2018;42,80
200040624;CC Pays d'Apt-Luberon;2018;36,30
200040657;CC de la Matheysine;2018;39,70
200040681;CC Enclave des Papes-Pays de Grignan;2018;36,60
200040715;Grenoble-Alpes-Métropole;2018;36,10
200040764;CC du Sud Corse;2018;40,40
200040772;CC du Perche et Haut Vendômois;2018;42,00
200040798;CC Val Vanoise;2018;41,10
200040814;CC Briance Sud Haute Vienne;2018;44,20
200040830;CC du Pays de Fénelon;2018;41,90
