codgeo;libgeo;an;p_licsport014_f
01;Guadeloupe;2016;38,60
01;Guadeloupe;2018;37,10
02;Martinique;2016;35,10
02;Martinique;2018;36,80
03;Guyane;2016;38,80
03;Guyane;2018;38,50
04;La Réunion;2016;40,80
04;La Réunion;2018;40,60
06;Mayotte;2016;
06;Mayotte;2018;37,50
11;Île-de-France;2016;38,10
11;Île-de-France;2018;38,90
24;Centre-Val de Loire;2016;40,40
24;Centre-Val de Loire;2018;40,50
27;Bourgogne-Franche-Comté;2016;41,30
27;Bourgogne-Franche-Comté;2018;41,60
28;Normandie;2016;40,00
28;Normandie;2018;40,30
32;Hauts-de-France;2016;39,10
32;Hauts-de-France;2018;39,50
44;Grand Est;2016;42,10
44;Grand Est;2018;42,30
52;Pays de la Loire;2016;39,00
52;Pays de la Loire;2018;39,10
53;Bretagne;2016;38,90
53;Bretagne;2018;39,10
75;Nouvelle-Aquitaine;2016;40,30
75;Nouvelle-Aquitaine;2018;40,40
76;Occitanie;2016;38,50
76;Occitanie;2018;38,70
84;Auvergne-Rhône-Alpes;2016;39,40
84;Auvergne-Rhône-Alpes;2018;40,00
93;Provence-Alpes-Côte d'Azur;2016;38,80
93;Provence-Alpes-Côte d'Azur;2018;38,60
94;Corse;2016;
94;Corse;2018;39,60
;;;
