codgeo;libgeo;an;tx_morta
200000172;CC Faucigny-Glières;1968-1975;10,40
200000172;CC Faucigny-Glières;1975-1982;8,30
200000172;CC Faucigny-Glières;1982-1990;7,60
200000172;CC Faucigny-Glières;1990-1999;6,30
200000172;CC Faucigny-Glières;1999-2008;5,80
200000172;CC Faucigny-Glières;2008-2013;5,50
200000172;CC Faucigny-Glières;2013-2018;6,40
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;1968-1975;13,90
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;1975-1982;11,90
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;1982-1990;10,60
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;1990-1999;10,10
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;1999-2008;10,10
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;2008-2013;9,90
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;2013-2018;9,80
200000545;CC des Portes de Romilly-sur-Seine;1968-1975;10,70
200000545;CC des Portes de Romilly-sur-Seine;1975-1982;10,70
200000545;CC des Portes de Romilly-sur-Seine;1982-1990;11,10
200000545;CC des Portes de Romilly-sur-Seine;1990-1999;11,70
200000545;CC des Portes de Romilly-sur-Seine;1999-2008;12,40
200000545;CC des Portes de Romilly-sur-Seine;2008-2013;13,10
200000545;CC des Portes de Romilly-sur-Seine;2013-2018;13,00
200000628;CC Rhône Lez Provence;1968-1975;10,20
200000628;CC Rhône Lez Provence;1975-1982;9,50
200000628;CC Rhône Lez Provence;1982-1990;8,10
200000628;CC Rhône Lez Provence;1990-1999;7,60
200000628;CC Rhône Lez Provence;1999-2008;8,00
200000628;CC Rhône Lez Provence;2008-2013;8,00
200000628;CC Rhône Lez Provence;2013-2018;8,30
200000800;CC Cœur de Sologne;1968-1975;13,50
200000800;CC Cœur de Sologne;1975-1982;13,00
200000800;CC Cœur de Sologne;1982-1990;12,90
200000800;CC Cœur de Sologne;1990-1999;12,80
200000800;CC Cœur de Sologne;1999-2008;11,60
200000800;CC Cœur de Sologne;2008-2013;10,90
200000800;CC Cœur de Sologne;2013-2018;11,20
200000925;CC de la Plaine Dijonnaise;1968-1975;9,10
200000925;CC de la Plaine Dijonnaise;1975-1982;7,70
200000925;CC de la Plaine Dijonnaise;1982-1990;6,70
200000925;CC de la Plaine Dijonnaise;1990-1999;6,20
200000925;CC de la Plaine Dijonnaise;1999-2008;6,10
200000925;CC de la Plaine Dijonnaise;2008-2013;5,40
200000925;CC de la Plaine Dijonnaise;2013-2018;6,40
200000933;CC Sauldre et Sologne;1968-1975;14,40
200000933;CC Sauldre et Sologne;1975-1982;14,20
200000933;CC Sauldre et Sologne;1982-1990;13,70
200000933;CC Sauldre et Sologne;1990-1999;12,90
200000933;CC Sauldre et Sologne;1999-2008;13,10
200000933;CC Sauldre et Sologne;2008-2013;13,50
200000933;CC Sauldre et Sologne;2013-2018;14,70
200004802;CC du Pays de Fayence;1968-1975;14,70
200004802;CC du Pays de Fayence;1975-1982;14,00
200004802;CC du Pays de Fayence;1982-1990;12,60
200004802;CC du Pays de Fayence;1990-1999;11,50
200004802;CC du Pays de Fayence;1999-2008;10,30
200004802;CC du Pays de Fayence;2008-2013;10,30
200004802;CC du Pays de Fayence;2013-2018;10,70
200005932;CC des Portes de Sologne;1968-1975;13,50
200005932;CC des Portes de Sologne;1975-1982;11,80
